P,T,N2,O2,Ar,y_N2,y_O2,y_Ar,x_N2,x_O2,x_Ar,vap_rho,liq_rho,vap_etlp,liq_etlp,vap_F,liq_F
563.8760976,-173.6390646,0.624947262,0.357806938,0.0172458,0.799947689,0.188290844,0.011761467,0.617796627,0.364733479,0.017469893,0.786566821,28.09895573,-5930.144177,-11177.1296,0.021809233,0.533746322
563.8760976,-173.6390646,0.624947262,0.361531928,0.01352081,0.800935827,0.189850343,0.00921383,0.618538947,0.367783412,0.013677641,0.786572637,28.096836,-5933.987449,-11183.59907,0.019518839,0.536036717
563.8760976,-173.6390646,0.624947262,0.365256918,0.00979582,0.801924469,0.191405273,0.006670258,0.619280008,0.370824084,0.009895908,0.786578447,28.09471481,-5937.824822,-11190.05342,0.017238271,0.538317285
563.8760976,-173.6390646,0.628677843,0.354081948,0.017240209,0.79991796,0.188243843,0.011838197,0.617774269,0.364641553,0.017584178,0.786566646,28.09901949,-5930.028428,-11176.93468,0.033256935,0.52229862
563.8760976,-173.6390646,0.628677843,0.357806938,0.013515219,0.800912928,0.189814265,0.009272807,0.618521763,0.367712858,0.013765379,0.786572502,28.09688513,-5933.898477,-11183.44936,0.030934976,0.52462058
563.8760976,-173.6390646,0.628677843,0.361531928,0.009790229,0.801908353,0.191379968,0.006711679,0.619267941,0.370774603,0.009957457,0.786578352,28.09474939,-5937.76233,-11189.94835,0.028623038,0.526932518
563.8760976,-173.6390646,0.628677843,0.365256918,0.006065239,0.802904256,0.192941025,0.004154719,0.620012826,0.373826916,0.006160258,0.786584195,28.09261223,-5941.620132,-11196.43188,0.026321069,0.529234486
563.8760976,-173.6390646,0.632408423,0.354081948,0.013509629,0.800889712,0.189777683,0.009332605,0.61850434,0.367641318,0.013854342,0.786572366,28.09693494,-5933.808265,-11183.29756,0.042352576,0.513202979
563.8760976,-173.6390646,0.632408423,0.357806938,0.009784639,0.801892015,0.191354313,0.006753673,0.619255707,0.370724437,0.010019856,0.786578256,28.09478445,-5937.698975,-11189.84183,0.040008828,0.515546727
563.8760976,-173.6390646,0.632408423,0.361531928,0.006059649,0.802894747,0.192926145,0.004179108,0.620005721,0.373797822,0.006196456,0.78658414,28.09263263,-5941.583333,-11196.37006,0.03767525,0.517880305
563.8760976,-173.6390646,0.632408423,0.365256918,0.002334659,0.803897931,0.194493255,0.001608814,0.620754411,0.376861603,0.002383986,0.786590017,28.09047945,-5945.461485,-11202.88249,0.035351788,0.520203768
563.9586992,-173.7492587,0.628677843,0.354081948,0.017240209,0.806161537,0.182279991,0.011558472,0.627351447,0.355365882,0.017282671,0.787861707,28.03157671,-5934.537567,-11169.46794,0.004121057,0.551434499
563.9586992,-173.7492587,0.628677843,0.357806938,0.013515219,0.807133028,0.183812954,0.009054018,0.628087181,0.358382834,0.013529985,0.78786744,28.02947458,-5938.317565,-11175.86989,0.001832745,0.553722811
563.9586992,-173.7492587,0.632408423,0.354081948,0.013509629,0.807109997,0.183776672,0.009113331,0.628069758,0.358311432,0.01361881,0.787867304,28.02952442,-5938.22804,-11175.71832,0.013462725,0.542092831
563.9586992,-173.7492587,0.632408423,0.357806938,0.009784639,0.80808878,0.185315994,0.006595226,0.628809411,0.361340611,0.009849978,0.787873072,28.02740634,-5942.028863,-11182.15057,0.011152711,0.544402845
563.9586992,-173.7492587,0.632408423,0.361531928,0.006059649,0.809068018,0.186850776,0.004081206,0.629547769,0.364360545,0.006091686,0.787878832,28.02528712,-5945.823747,-11188.56764,0.008852775,0.546702781
563.9586992,-173.7492587,0.632408423,0.365256918,0.002334659,0.810047731,0.18838109,0.001571179,0.630284856,0.367371358,0.002343786,0.787884587,28.0231667,-5949.612831,-11194.96975,0.006562866,0.54899269
563.9586992,-173.6941617,0.624947262,0.354081948,0.02097079,0.802151392,0.18370771,0.014140898,0.621924618,0.356988092,0.02108729,0.787274705,28.06659278,-5928.624965,-11166.85065,0.00931741,0.546238146
563.9586992,-173.6941617,0.624947262,0.357806938,0.0172458,0.803127163,0.185252799,0.011620038,0.622662277,0.360019778,0.017317945,0.787280466,28.06449057,-5932.428559,-11173.27822,0.007034255,0.5485213
563.9586992,-173.6941617,0.624947262,0.361531928,0.01352081,0.804103428,0.186793376,0.009103196,0.62339868,0.363042325,0.013558994,0.78728622,28.06238703,-5936.226319,-11179.69087,0.004760934,0.550794622
563.9586992,-173.6941617,0.624947262,0.365256918,0.00979582,0.805080207,0.188329513,0.00659028,0.624133851,0.366055854,0.009810295,0.787291968,28.0602821,-5940.018382,-11186.08882,0.002497398,0.553058158
563.9586992,-173.6941617,0.628677843,0.354081948,0.017240209,0.803097559,0.185206002,0.011696439,0.622639922,0.359927959,0.017432119,0.787280291,28.06455436,-5932.313278,-11173.08348,0.018588298,0.536967257
563.9586992,-173.6941617,0.628677843,0.357806938,0.013515219,0.804080621,0.186757447,0.009161932,0.623381496,0.362971836,0.013646668,0.787286086,28.06243617,-5936.137687,-11179.54127,0.016283505,0.539272051
563.9586992,-173.6941617,0.628677843,0.361531928,0.009790229,0.805064151,0.188304304,0.006631546,0.624121779,0.366006402,0.009871818,0.787291874,28.06031671,-5939.956109,-11185.9838,0.013988687,0.541566868
563.9586992,-173.6941617,0.628677843,0.365256918,0.006065239,0.80604817,0.189846644,0.004105185,0.624860799,0.369031781,0.00610742,0.787297656,28.05819591,-5943.768685,-11192.41129,0.011703794,0.543851761
563.9586992,-173.6941617,0.632408423,0.354081948,0.013509629,0.804057495,0.186721012,0.009221493,0.62336407,0.362900355,0.013735575,0.78728595,28.06248601,-5936.047811,-11179.38957,0.027807546,0.527748009
563.9586992,-173.6941617,0.632408423,0.357806938,0.009784639,0.805047871,0.188278743,0.006673385,0.62410954,0.365956261,0.009934199,0.787291778,28.06035179,-5939.89297,-11185.87731,0.025481006,0.530074549
563.9586992,-173.6941617,0.632408423,0.361531928,0.006059649,0.80603869,0.189831809,0.004129501,0.624853687,0.369002683,0.006143631,0.787297601,28.05821634,-5943.731988,-11192.34945,0.023164587,0.532390968
