Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
36__Main Tower	532.317073170732	-178.310602323789	2210.1575656735	3480.24804758714	0.999934574095983	4.01259946946139E-07	6.5024644069825E-05	0.999965012336684	1.65254195942022E-07	3.48224091200893E-05	-10924.5898599784	25.6592508726598	28.0137781573207	-6097.29723165643	0.784910328139936	28.0134167526503
36__Main Tower	532.317073170732	-178.30930487553	2123.02884721383	3484.21285778578	0.999754665313436	1.77323505936709E-06	0.000243561451504605	0.999868830275244	7.30337051004313E-07	0.000130439387705013	-10924.1644616275	25.6610367509184	28.0159144644268	-6097.25067451202	0.785017370841169	28.0145601944061
36__Main Tower	532.317073170732	-178.304348221849	2033.49067062957	3486.34076046653	0.999067984382803	8.87757173661451E-06	0.000923138045460422	0.999501877051261	3.65734049284338E-06	0.000494465608246207	-10923.2164081692	25.6645328266717	28.0240535369957	-6096.50516037898	0.784959846069768	28.0189165178095
36__Main Tower	532.317073170732	-178.287652472017	1941.08407554831	3483.92698038741	0.996761524066277	5.08345075276038E-05	0.00318764142619533	0.998270637416819	2.09613906283564E-05	0.0017084011925523	-10921.0008259136	25.6776412435623	28.0512476702371	-6094.01912952569	0.784766649480134	28.0334738319147
36__Main Tower	532.317073170732	-178.243801098561	1848.18060790048	3482.10515118324	0.990774385033105	0.000381434888046812	0.00884418007884849	0.995095033716777	0.000157653122843416	0.00474731316037951	-10915.675146784	25.7126162980262	28.1200765703803	-6087.73354232385	0.784261250779409	28.0702882402936
36__Main Tower	532.317073170732	-178.127428886206	1751.37423162256	3476.98527335413	0.976429800347369	0.00676596721457669	0.0168042324380542	0.98811984359147	0.00281357559676131	0.00906658081176835	-10913.5333811149	25.8008448527802	28.2405349334874	-6076.83791412594	0.782933354267196	28.1324278672512
36__Main Tower	532.317073170732	-176.863025865499	1577.37090801501	3402.5883479885	0.844222170532347	0.140495066192847	0.0152827632748059	0.928770071048602	0.06238334742262	0.00884658152877774	-11034.3005598996	26.6850503509389	28.7555540492635	-6031.05616936647	0.768975616908857	28.3673068266895
36__Main Tower	532.317073170732	-176.120921684393	1453.91192513859	3367.36098022705	0.771510767488303	0.215046581855341	0.0134426506563568	0.892407851509107	0.0994660608923279	0.00812608759856517	-11101.366557412	27.182455696037	29.0308291591796	-6005.10688184499	0.761079449243007	28.5065564911399
36__Main Tower	532.317073170732	-178.310608647379	2213.50842986022	3483.52410567246	0.999935451128634	3.953396502548E-07	6.4153531715795E-05	0.999965481293434	1.62815922448332E-07	3.43558906430094E-05	-10924.5903297414	25.6592443120162	28.0137677369894	-6097.29818124303	0.784910401147638	28.0134111750303
36__Main Tower	532.317073170732	-178.309303801926	2123.0040607983	3484.14389135596	0.999754516110015	1.77446177121731E-06	0.000243709428213388	0.999868750639486	7.30842096305214E-07	0.00013051851841774	-10924.1643821713	25.6610378742759	28.0159162354199	-6097.25050379284	0.785017357692295	28.0145611408449
36__Main Tower	532.317073170732	-178.304336085056	2033.49535981567	3486.46112854974	0.999066303619637	8.89642335846218E-06	0.000924799957004698	0.999500978912195	3.6651092495808E-06	0.000495355978555295	-10923.2147709213	25.6645431811453	28.0240734470737	-6096.50330232502	0.784959702576098	28.0189271753544
36__Main Tower	532.317073170732	-178.287653401218	1941.08495067627	3483.93842366999	0.996761652434169	5.08326529211746E-05	0.00318751491290942	0.998270706058629	2.09606247687317E-05	0.00170833331660208	-10921.0009501297	25.6776404980565	28.0512461529066	-6094.01926886385	0.784766660268472	28.0334730187617
36__Main Tower	532.317073170732	-178.243801892751	1848.1516262481	3482.04953955902	0.99077449764237	0.000381455153162604	0.00884404720446699	0.995095097623503	0.000157661482253076	0.0047472408942437	-10915.6752972814	25.7126156599584	28.1200750653214	-6087.73368232168	0.784261259886066	28.0702874111262
36__Main Tower	532.317073170732	-178.127035045344	1751.27365555225	3476.8801735015	0.976385618217152	0.00680289206491568	0.0168114897179319	0.988100317988629	0.00282899209282675	0.00907068991854394	-10913.5594704952	25.801130199303	28.2407687684929	-6076.81723925187	0.782928900909973	28.1325383750085
36__Main Tower	532.317073170732	-176.86280581777	1577.37210129324	3402.60756136395	0.844199836501703	0.140517663062667	0.0152825004356298	0.928759418384903	0.0623940478992948	0.00884653371580233	-11034.3207406276	26.6852018083333	28.7556410059865	-6031.04821492479	0.76897324189095	28.3673489188369
36__Main Tower	532.317073170732	-176.121017291792	1453.8583620667	3367.31183476749	0.771519906899793	0.215037593629549	0.0134424994706575	0.892412716286858	0.0994613348813694	0.00812594883177302	-11101.3589171601	27.1823930541718	29.0307915187262	-6005.11058030561	0.761080454251177	28.5065359923547
