Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	528.6	-178.401740689162	2208.94373158036	6.03737757372967E-06	0.99999445743325	7.53923248337188E-09	5.53502751757282E-06	0.999997036579913	3.09879308008262E-09	2.96032129397441E-06	-10930.2585094036	25.6767864788227	28.0130665789012	-6098.06869584876	0.779594465569107	28.0130358320748
Condenser	528.6	-178.401609619602	2121.26264620146	6.4519679836137E-06	0.999976226797533	3.99239431752466E-08	2.37332785240533E-05	0.999987290167204	1.64097493578789E-08	1.26934230468475E-05	-10930.2485252381	25.6767374021926	28.0132839041698	-6098.07945004394	0.779532560640574	28.0131520497284
Condenser	528.6	-178.401038796093	2032.16327149568	6.32137741228948E-06	0.999896847793275	2.4065505186615E-07	0.000102911551673369	0.999944859221249	9.89183145818973E-08	5.50418604363529E-05	-10929.7438979923	25.6773197625789	28.0142296972834	-6097.99843494689	0.779527876243164	28.0136578073484
Condenser	528.6	-178.398848804289	1940.62094977937	6.37198229636022E-06	0.999592509660065	1.66581184587495E-06	0.000405824528089409	0.999782245183159	6.84792555512488E-07	0.000217070024285066	-10929.3793940097	25.6789194755261	28.0178506461723	-6097.80367315449	0.779621345786763	28.0155939495868
Condenser	528.6	-178.392399562218	1849.83140749415	6.53512515762352E-06	0.998699022658092	1.52242208490766E-05	0.00128575312105873	0.999305856103563	6.26064246539677E-06	0.000687883253971118	-10928.4922694796	25.6841687370054	28.0284066525079	-6096.84100509919	0.779547322579721	28.0212353370405
Condenser	528.6	-178.378547862772	1758.26948638903	2.71596624971624E-05	0.996858280440738	0.000333805742125468	0.00280791381713672	0.998359590652797	0.000137371893543899	0.00150303745365944	-10927.2687114813	25.695076399889	28.0478438268757	-6095.07851175767	0.779389127827494	28.0314869440273
Condenser	528.6	-178.275911862581	1654.16073028976	7.06684867228194E-05	0.985458584142448	0.0109484931377694	0.00359292271978274	0.99353746167316	0.00452887132330758	0.0019336670035324	-10936.083794824	25.7693193516873	28.0995336626703	-6090.66231612472	0.77823256527088	28.0541354143786
Condenser	528.6	-178.150310068568	1548.34906929221	6.51638591393285E-05	0.971700385911832	0.0242516928349871	0.0040479212531807	0.987710781979832	0.0100958864105104	0.00219333160965737	-10947.6111770035	25.8595606405018	28.1580039214884	-6085.67706157974	0.77682431449488	28.0794301982437
Condenser	528.6	-178.401741273499	2211.07467247549	8.53281789134727E-05	0.999994539812323	7.41371074936088E-09	5.4527739661474E-06	0.999997080623592	3.04720076860887E-09	2.91632920760772E-06	-10930.2585545613	25.6767831670191	28.0130655967045	-6098.06878525523	0.77959447235655	28.0130353068235
Condenser	528.6	-178.401609518809	2121.17557303643	0.000722017369621884	0.999976212774639	3.99507969988534E-08	2.37472745637435E-05	0.999987282671716	1.64207865103862E-08	1.27009074972342E-05	-10930.2485175624	25.6767375047867	28.0132840713196	-6098.07943483108	0.779532559485482	28.0131521390993
Condenser	528.6	-178.401037430717	2032.38176223489	0.000653602252632611	0.999896657937956	2.4117774177536E-07	0.000103100884302536	0.999944757740162	9.91331670617447E-08	5.51431266708058E-05	-10930.1388733024	25.6771040748815	28.0142319590525	-6097.99822906151	0.779527860598389	28.0136590168177
Condenser	528.6	-178.398848884314	1940.62015366048	5.36969123505561E-05	0.999592520785014	1.66578147630865E-06	0.000405813433509742	0.999782251130874	6.84780067714193E-07	0.000217064089058276	-10929.3794062749	25.6789194141481	28.0178505136374	-6097.8036856554	0.779621346737103	28.0155938787001
Condenser	528.6	-178.392399695431	1849.81064206067	2.0717279927605E-05	0.998699041336003	1.52250267431584E-05	0.00128573363725401	0.999305866220543	6.26097375802399E-06	0.000687872805698902	-10928.4922896631	25.6841686293849	28.0284064231818	-6096.841026225	0.77954732411942	28.0212352136612
Condenser	528.6	-178.37852134997	1758.24139678121	2.01621627732027E-05	0.996855087028684	0.000335645914953565	0.0028092670563621	0.998358106707847	0.00013812939418833	0.00150376389796447	-10927.2690489551	25.6950963014904	28.0478673145559	-6095.07639828756	0.779388825101544	28.0314986342957
Condenser	528.6	-178.275893349596	1654.1629965634	1.82649847239584E-05	0.985456553095088	0.0109504979730519	0.00359294893186059	0.993536612927997	0.00452970422896273	0.00193368284304068	-10936.0855763845	25.769332684225	28.0995419687888	-6090.66161360864	0.778232356535267	28.0541389242176
Condenser	528.6	-178.150315733576	1548.34416912005	1.52418744030007E-05	0.971701005160984	0.0242510955028234	0.00404789933619245	0.987711046020053	0.0100956349058632	0.00219331907408352	-10947.6106614508	25.8595565736575	28.1580012783461	-6085.67728812745	0.776824378023931	28.0794290458827
Condenser	528.6	-178.401741150564	2211.24479186152	2.25075831107773E-05	0.999994522705492	7.43890794048706E-09	5.46985559987962E-06	0.999997071477383	3.0575573973125E-09	2.92546505930639E-06	-10930.2585451821	25.6767838547479	28.0130658006743	-6098.06876668845	0.779594470947089	28.0130354159012
Condenser	528.6	-178.401608749575	2122.20494418809	8.1176508100309E-06	0.999976105778065	4.01467011195636E-08	2.38540752338502E-05	0.999987225471363	1.65013081051587E-08	1.27580273292546E-05	-10930.2484589767	25.6767382872971	28.0132853467668	-6098.0793187326	0.779532550670972	28.0131528211456
Condenser	528.6	-178.401038171626	2032.24014879235	8.31441661934272E-06	0.999896760957139	2.4087565903658E-07	0.00010299816720244	0.99994481280324	9.90089958985085E-08	5.50881877636228E-05	-10929.7438505835	25.6773203996857	28.0142307319194	-6097.9983407645	0.779527869087886	28.0136583606267
