place	x_O2	x_Ar	y_N2	y_O2	y_Ar	vap_etlp	liq_etlp
1	-2.176953e-07	2.176953e-07	3.087704e-09	-5.411584e-08	5.102814e-08	-1.684006e-02	-1.121852e-04
1	-2.569052e-07	2.569052e-07	-1.365885e-08	-9.434283e-08	1.080017e-07	4.799257e-03	2.069381e-04
1	-1.491984e-07	1.491984e-07	-9.337571e-09	-6.586640e-08	7.620397e-08	2.563325e-02	1.943064e-04
1	-2.588278e-07	2.588278e-07	-1.384266e-08	-9.514489e-08	1.089875e-07	4.296997e-03	2.034419e-04
1	-2.196841e-07	2.196841e-07	-2.700408e-08	-9.437463e-08	1.223787e-07	2.536091e-02	3.330784e-04
1	-1.062223e-07	1.062223e-07	-3.913827e-08	-4.558128e-08	8.571955e-08	4.567231e-02	2.794010e-04
1	8.544973e-08	-8.444973e-08	-4.878672e-08	6.247063e-08	-1.368390e-08	6.521921e-02	5.237828e-05
1	3.576893e-08	-3.476893e-08	-3.475810e-08	7.616050e-08	-4.140240e-08	-6.348368e-02	-7.153448e-04
1	-3.185019e-08	3.185019e-08	-2.693966e-08	4.100373e-08	-1.406407e-08	-5.524543e-02	-3.255292e-04
1	-8.393743e-08	8.493743e-08	-1.881707e-08	-1.308757e-09	2.012583e-08	-4.726152e-02	-4.391773e-05
1	-1.163512e-07	1.153512e-07	-8.112544e-09	-4.077709e-08	4.788964e-08	-3.993776e-02	1.348036e-04
1	-1.330698e-07	1.330698e-07	2.621701e-09	-6.834959e-08	6.672789e-08	-3.327677e-02	2.277342e-04
1	-8.039686e-08	8.039686e-08	-1.835762e-08	8.170057e-10	1.754061e-08	-4.749673e-02	-5.063047e-05
1	-1.183808e-07	1.183808e-07	-9.066282e-09	-4.119962e-08	5.026591e-08	-4.009790e-02	1.399686e-04
1	-1.314663e-07	1.314663e-07	2.658097e-09	-6.742208e-08	6.576398e-08	-3.338192e-02	2.251818e-04
1	-1.292474e-07	1.282474e-07	1.321301e-08	-7.413199e-08	5.991898e-08	-2.735026e-02	2.413392e-04
1	-1.164894e-07	1.174894e-07	-9.000310e-09	-3.952791e-08	4.852822e-08	-4.026467e-02	1.360027e-04
1	-1.295324e-07	1.295324e-07	2.589450e-09	-6.710253e-08	6.351308e-08	-3.348927e-02	2.198257e-04
1	-1.301678e-07	1.301678e-07	1.270226e-08	-7.439942e-08	6.169716e-08	-2.740393e-02	2.523037e-04
1	-1.102059e-07	1.102059e-07	2.399927e-08	-4.967307e-08	2.667380e-08	-2.202561e-02	2.041816e-04
1	-3.366745e-07	3.366745e-07	8.478036e-09	-2.318222e-07	2.233442e-07	3.237934e-02	2.127037e-04
1	-2.014127e-07	2.014127e-07	3.589505e-09	-1.387693e-07	1.351798e-07	2.648889e-02	1.913815e-04
1	-1.119811e-07	1.119811e-07	-3.054349e-09	-8.256006e-08	8.561441e-08	2.002365e-02	1.717461e-04
1	-6.530459e-08	6.530459e-08	-1.144576e-08	-5.219082e-08	6.363658e-08	1.297263e-02	1.636987e-04
1	-2.051740e-07	2.051740e-07	3.520608e-09	-1.409207e-07	1.374001e-07	2.671499e-02	1.957499e-04
1	-1.130671e-07	1.120671e-07	-2.163039e-09	-8.317432e-08	8.533736e-08	2.022363e-02	1.732732e-04
1	-6.623829e-08	6.623829e-08	-1.106771e-08	-5.299191e-08	6.405962e-08	1.314192e-02	1.681736e-04
1	-6.113237e-08	6.113237e-08	-2.190521e-08	-3.961475e-08	6.151995e-08	5.452909e-03	1.808829e-04
1	-1.163480e-07	1.163480e-07	-3.015128e-09	-8.473539e-08	8.775052e-08	2.043008e-02	1.746741e-04
1	-6.415178e-08	6.415178e-08	-1.067702e-08	-5.239597e-08	6.307299e-08	1.330978e-02	1.630440e-04
1	-6.208903e-08	6.308903e-08	-2.180584e-08	-4.053278e-08	6.233861e-08	5.584595e-03	1.848971e-04
1	-9.803337e-08	9.803337e-08	-3.449252e-08	-3.453956e-08	6.903208e-08	-2.771602e-03	2.324986e-04
1	-6.453142e-08	6.453142e-08	-9.991798e-09	-5.296242e-08	6.295422e-08	1.348252e-02	1.633682e-04
1	-6.217735e-08	6.217735e-08	-2.125946e-08	-4.074175e-08	6.300121e-08	5.716252e-03	1.837447e-04
1	-9.684978e-08	9.584978e-08	-3.366088e-08	-3.372880e-08	6.738968e-08	-2.690098e-03	2.293314e-04
1	-1.795584e-07	1.795584e-07	-5.101267e-08	-2.715053e-08	7.816321e-08	-1.173267e-02	3.351792e-04
1	-1.862611e-07	1.862611e-07	-9.722434e-11	-5.954191e-08	5.963913e-08	-1.151559e-02	-6.746000e-05
1	-2.362867e-07	2.362867e-07	-1.518605e-08	-1.049388e-07	1.201248e-07	1.064132e-02	2.339939e-04
1	-2.383904e-07	2.383904e-07	-1.500030e-08	-1.053079e-07	1.203082e-07	1.012706e-02	2.385706e-04
1	-2.097049e-07	2.097049e-07	-2.779102e-08	-1.088280e-07	1.366190e-07	3.171173e-02	3.397277e-04
1	-1.053084e-07	1.053084e-07	-3.792109e-08	-6.381829e-08	1.017394e-07	5.254304e-02	2.591900e-04
1	7.971754e-08	-7.971754e-08	-4.593893e-08	4.197344e-08	3.965493e-09	7.260604e-02	6.892240e-06
1	1.646951e-09	-1.646951e-09	-3.938412e-08	4.330262e-08	-3.918503e-09	-5.345158e-02	-2.734416e-04
1	-6.538788e-08	6.538788e-08	-2.754212e-08	-6.633973e-09	3.417609e-08	-4.494258e-02	-4.618072e-06
1	-1.134366e-07	1.124366e-07	-1.481929e-08	-5.430020e-08	6.911949e-08	-3.709039e-02	1.616095e-04
1	-1.402418e-07	1.402418e-07	-2.122824e-09	-8.744307e-08	8.956589e-08	-2.990798e-02	2.348898e-04
1	-6.497270e-08	6.497270e-08	-2.909958e-08	-5.431689e-09	3.453127e-08	-4.518863e-02	-2.326286e-06
1	-1.155286e-07	1.155286e-07	-1.639419e-08	-5.419171e-08	7.058590e-08	-3.726254e-02	1.646599e-04
1	-1.397714e-07	1.387714e-07	-1.640213e-09	-8.664645e-08	8.928667e-08	-3.002113e-02	2.278582e-04
1	-1.493593e-07	1.493593e-07	1.022061e-08	-1.001458e-07	8.892521e-08	-2.346070e-02	2.322584e-04
1	-1.147427e-07	1.147427e-07	-1.700037e-08	-5.305192e-08	7.005229e-08	-3.744130e-02	1.586904e-04
1	-1.430968e-07	1.430968e-07	-3.628173e-09	-8.858972e-08	9.121789e-08	-3.013131e-02	2.368001e-04
1	-1.515257e-07	1.525257e-07	1.019958e-08	-1.012527e-07	9.105313e-08	-2.351738e-02	2.364646e-04
1	-1.389150e-07	1.389150e-07	2.281005e-08	-8.036959e-08	5.755954e-08	-1.761329e-02	1.671007e-04
1	-2.848947e-07	2.848947e-07	-3.312113e-09	-2.019946e-07	2.053067e-07	3.062623e-02	2.453051e-04
1	-1.709812e-07	1.699812e-07	-4.737171e-09	-1.202526e-07	1.249897e-07	2.527154e-02	2.149959e-04
1	-9.944963e-08	9.944963e-08	-7.314622e-09	-7.482654e-08	8.314116e-08	1.934122e-02	1.879280e-04
1	-6.919869e-08	6.919869e-08	-1.204340e-08	-5.569619e-08	6.773960e-08	1.282230e-02	1.639692e-04
1	-1.735538e-07	1.725538e-07	-4.560404e-09	-1.224625e-07	1.270229e-07	2.547864e-02	2.218117e-04
1	-9.940170e-08	9.940170e-08	-7.104399e-09	-7.514553e-08	8.224993e-08	1.952620e-02	1.895088e-04
1	-6.597308e-08	6.597308e-08	-1.094453e-08	-5.377096e-08	6.571549e-08	1.297542e-02	1.574340e-04
1	-7.690336e-08	7.690336e-08	-1.846129e-08	-5.076462e-08	6.922591e-08	5.821674e-03	1.534153e-04
