place	T	P	L	V	y_N2	y_O2	y_Ar	x_N2	x_O2	x_Ar	HL	HV
28	-177.8964844	547.2731707	2000.764298	3542.035281	0.996392149	0.000302691	0.003305161	0.992947296	0.000728665	0.006324039	-10896.33759	-6087.610543
29	-177.918008	546.6536585	2000.903881	3542.117411	0.996817609	0.000221846	0.002960545	0.993797752	0.000534464	0.005667784	-10897.70959	-6088.498901
30	-177.9387207	546.0341463	2000.986011	3542.152687	0.997197166	0.000162322	0.002640513	0.994551003	0.000391345	0.005057653	-10899.0845	-6089.319834
31	-177.9587658	545.4146341	2001.021287	3542.14929	0.997537831	0.000118534	0.002343635	0.995222923	0.000285973	0.004491105	-10900.45272	-6090.080775
32	-177.9782546	544.795122	2001.017891	3542.113576	0.997845154	8.63498E-05	0.002068496	0.995825956	0.000208462	0.003965582	-10901.80773	-6090.787961
33	-177.9972743	544.1756098	2000.982177	3542.050519	0.99812357	6.27123E-05	0.001813718	0.996369945	0.000151491	0.003478564	-10903.14532	-6091.44669
34	-178.0158938	543.5560976	2000.91912	3541.96405	0.998376666	4.53644E-05	0.00157797	0.996862754	0.00010965	0.003027596	-10904.46292	-6092.061516
35	-178.034168	542.9365854	2000.832651	3541.857308	0.998607378	3.26413E-05	0.00135998	0.997310741	0.000078942	0.002610317	-10905.75916	-6092.636398
36	-178.0521415	542.3170732	2000.725908	3541.732828	0.998818145	2.33161E-05	0.001158539	0.997719111	5.64202E-05	0.002224468	-10907.03351	-6093.174814
37	-178.0698506	541.697561	2000.601428	3541.592684	0.999011014	1.64856E-05	0.000972501	0.998092183	0.000039913	0.001867904	-10908.28605	-6093.679852
38	-178.0873257	541.0780488	2000.461284	3541.438593	0.999187732	1.14854E-05	0.000800783	0.998433585	2.78215E-05	0.001538594	-10909.51727	-6094.154272
39	-178.1045923	540.4585366	2000.307193	3541.271994	0.999349805	7.8274E-06	0.000642368	0.99874641	1.89699E-05	0.00123462	-10910.7279	-6094.600564
40	-178.1216719	539.8390244	2000.140594	3541.094106	0.999498546	5.1527E-06	0.000496301	0.999033325	1.24938E-05	0.000954181	-10911.9189	-6095.020982
41	-178.1385833	539.2195122	1999.962707	3540.905989	0.999635116	3.1983E-06	0.000361686	0.999296657	7.7586E-06	0.000695585	-10913.09128	-6095.417583
42	-178.1553429	538.6	1999.774589	3541.094846	0.999760544	0.000001771	0.000237685	0.999538455	4.2982E-06	0.000457247	-10914.24613	-6095.792244
Cond	-178.1570081	538.6	1999.963446		0.999875726	0.00000073	0.000124	0.999760544	0.00000177	0.000238	-10914.4538	-6096.028169
