Filename	MaxTestError	Order
fitting_models/HPCAllTrays20Cstm.py	7.811795e-03	1
fitting_models/HPCAllTrays21Cstm.py	2.915166e-06	1
fitting_models/HPCAllTrays21Cstm.py	1.108305e-06	1
fitting_models/HPCAllTrays21Cstm.py	1.259711e-06	1
fitting_models/HPCAllTrays21Cstm.py	3.065246e-03	1
fitting_models/HPCAllTrays21Cstm.py	6.589818e-03	1
fitting_models/HPCAllTrays22Cstm.py	2.359093e-06	1
fitting_models/HPCAllTrays22Cstm.py	6.977991e-07	1
fitting_models/HPCAllTrays22Cstm.py	9.738987e-07	1
fitting_models/HPCAllTrays22Cstm.py	2.397135e-03	1
fitting_models/HPCAllTrays22Cstm.py	4.047312e-03	1
fitting_models/HPCAllTrays23Cstm.py	9.642069e-07	1
fitting_models/HPCAllTrays23Cstm.py	3.002120e-07	1
fitting_models/HPCAllTrays23Cstm.py	4.271445e-07	1
fitting_models/HPCAllTrays23Cstm.py	1.073167e-03	1
fitting_models/HPCAllTrays23Cstm.py	2.018494e-03	1
fitting_models/HPCAllTrays24Cstm.py	8.801681e-07	1
fitting_models/HPCAllTrays24Cstm.py	2.213586e-07	1
fitting_models/HPCAllTrays24Cstm.py	3.665737e-07	1
fitting_models/HPCAllTrays24Cstm.py	9.579670e-04	1
fitting_models/HPCAllTrays24Cstm.py	1.576761e-03	1
fitting_models/HPCAllTrays25Cstm.py	8.544334e-07	1
fitting_models/HPCAllTrays25Cstm.py	2.227718e-07	1
fitting_models/HPCAllTrays25Cstm.py	3.049831e-07	1
fitting_models/HPCAllTrays25Cstm.py	7.435298e-04	1
fitting_models/HPCAllTrays25Cstm.py	1.320536e-03	1
fitting_models/HPCAllTrays26Cstm.py	7.494312e-07	1
fitting_models/HPCAllTrays26Cstm.py	2.009452e-07	1
fitting_models/HPCAllTrays26Cstm.py	2.698319e-07	1
fitting_models/HPCAllTrays26Cstm.py	7.517069e-04	1
fitting_models/HPCAllTrays26Cstm.py	1.008408e-03	1
fitting_models/HPCAllTrays27Cstm.py	6.438976e-07	1
fitting_models/HPCAllTrays27Cstm.py	1.704858e-07	1
fitting_models/HPCAllTrays27Cstm.py	2.995972e-07	1
fitting_models/HPCAllTrays27Cstm.py	6.580019e-04	1
fitting_models/HPCAllTrays27Cstm.py	1.429282e-03	1
fitting_models/HPCAllTrays28Cstm.py	4.245402e-07	1
