place	x_O2	x_Ar	y_N2	y_O2	y_Ar	vap_etlp	liq_etlp
1	-4.994884e-03	4.994884e-03	-1.135444e-03	-2.477884e-03	3.613329e-03	5.387932e+00	9.428625e+00
2	-4.874201e-03	4.874200e-03	-1.019703e-03	-2.377904e-03	3.397607e-03	5.063936e+00	9.119654e+00
3	-4.652931e-03	4.652931e-03	-8.814086e-04	-2.241678e-03	3.123087e-03	4.668122e+00	8.588153e+00
4	-4.338875e-03	4.338876e-03	-7.346612e-04	-2.076404e-03	2.811065e-03	4.199223e+00	7.919031e+00
5	-4.353870e-03	4.353870e-03	-7.269667e-04	-2.051806e-03	2.778773e-03	4.155501e+00	7.943658e+00
6	-4.358413e-03	4.358413e-03	-6.926806e-04	-2.006254e-03	2.698934e-03	4.047005e+00	7.953886e+00
7	-4.331102e-03	4.331102e-03	-6.389345e-04	-1.953502e-03	2.592437e-03	3.887313e+00	7.861856e+00
8	-4.262820e-03	4.262820e-03	-5.689617e-04	-1.891048e-03	2.460011e-03	3.690680e+00	7.677726e+00
9	-4.149001e-03	4.149001e-03	-4.890022e-04	-1.816703e-03	2.305705e-03	3.469279e+00	7.410034e+00
10	-3.994307e-03	3.994307e-03	-4.064226e-04	-1.732555e-03	2.138979e-03	3.211965e+00	7.053427e+00
11	-3.805740e-03	3.805741e-03	-3.312949e-04	-1.639585e-03	1.970880e-03	2.956325e+00	6.648341e+00
12	-3.595313e-03	3.595313e-03	-2.612933e-04	-1.545901e-03	1.807194e-03	2.703871e+00	6.201828e+00
13	-3.371812e-03	3.371812e-03	-2.001404e-04	-1.445048e-03	1.645189e-03	2.452698e+00	5.756661e+00
14	-3.144818e-03	3.144818e-03	-1.505314e-04	-1.344829e-03	1.495361e-03	2.229045e+00	5.315211e+00
15	-2.929850e-03	2.929850e-03	-1.122158e-04	-1.245229e-03	1.357445e-03	2.021189e+00	4.893621e+00
16	-2.701483e-03	2.701483e-03	-8.190799e-05	-1.150057e-03	1.231965e-03	1.831681e+00	4.493299e+00
17	-2.498736e-03	2.498737e-03	-5.950442e-05	-1.059440e-03	1.118945e-03	1.662689e+00	4.124028e+00
18	-2.302454e-03	2.302454e-03	-4.356010e-05	-9.731395e-04	1.016700e-03	1.508862e+00	3.777791e+00
19	-2.112734e-03	2.112734e-03	-3.118041e-05	-8.921581e-04	9.233385e-04	1.371044e+00	3.458597e+00
20	-1.935352e-03	1.935352e-03	-2.265341e-05	-8.154386e-04	8.380910e-04	1.242768e+00	3.158601e+00
21	-1.769315e-03	1.769315e-03	-1.633104e-05	-7.441987e-04	7.605308e-04	1.128406e+00	2.879087e+00
22	-1.610525e-03	1.610524e-03	-1.159908e-05	-6.769978e-04	6.885969e-04	1.021030e+00	2.620941e+00
23	-1.464054e-03	1.464054e-03	-8.285637e-06	-6.145177e-04	6.228043e-04	9.227552e-01	2.377408e+00
24	-1.328401e-03	1.328401e-03	-5.961478e-06	-5.567470e-04	5.627084e-04	8.334385e-01	2.154309e+00
25	-1.202174e-03	1.202174e-03	-4.157111e-06	-5.029325e-04	5.070906e-04	7.521350e-01	1.947473e+00
26	-1.085954e-03	1.085954e-03	-3.170460e-06	-4.537124e-04	4.568828e-04	6.774621e-01	1.757537e+00
27	-9.773301e-04	9.773301e-04	-2.413454e-06	-4.082312e-04	4.106447e-04	6.086318e-01	1.583633e+00
28	-8.761917e-04	8.761917e-04	-1.310239e-06	-3.661685e-04	3.674798e-04	5.435272e-01	1.420860e+00
29	-7.845349e-04	7.845349e-04	-1.218198e-06	-3.268109e-04	3.280291e-04	4.873187e-01	1.270532e+00
30	-6.993949e-04	6.993959e-04	-1.071928e-06	-2.911335e-04	2.922064e-04	4.336584e-01	1.133851e+00
31	-6.193793e-04	6.193803e-04	-6.849987e-07	-2.573400e-04	2.580250e-04	3.821709e-01	1.001839e+00
32	-5.461179e-04	5.461179e-04	-3.063504e-07	-2.272249e-04	2.275310e-04	3.363411e-01	8.866686e-01
33	-4.778977e-04	4.778977e-04	-3.482391e-07	-1.989070e-04	1.992555e-04	2.947855e-01	7.723205e-01
34	-4.179650e-04	4.179650e-04	-4.439138e-08	-1.724800e-04	1.725248e-04	2.549402e-01	6.694333e-01
35	-3.559390e-04	3.559390e-04	2.607294e-07	-1.482237e-04	1.479623e-04	2.179724e-01	5.777919e-01
36	-3.049972e-04	3.049964e-04	2.547998e-07	-1.268552e-04	1.266005e-04	1.873913e-01	4.963080e-01
37	-2.546265e-04	2.546265e-04	4.303378e-07	-1.050037e-04	1.045740e-04	1.571459e-01	4.129525e-01
38	-2.132403e-04	2.132408e-04	3.468194e-05	-8.826375e-05	5.358221e-05	1.318791e-01	3.455072e-01
39	-1.427862e-04	1.427861e-04	2.969898e-05	-5.894838e-05	2.924980e-05	-5.544852e-02	-8.035986e-02
40	-1.109445e-04	1.109443e-04	2.294680e-05	-4.618606e-05	2.323896e-05	-4.279731e-02	-6.203386e-02
41	-8.479212e-05	8.479272e-05	1.673999e-05	-3.486743e-05	1.812774e-05	-3.123387e-02	-4.541484e-02
42	-6.225236e-05	6.225256e-05	-1.632927e-08	-2.581057e-05	2.582690e-05	3.819659e-02	1.008975e-01
