pressure,temperature,nitrogen,oxygen
100.0,-195.0,-6229.873107097643,-6343.520275983261
100.0,-193.0,-6173.795304373564,-6285.465502194815
100.0,-191.0,-6117.782705389439,-6227.5206253646065
100.0,-189.0,-6061.830759785617,-6169.678836658385
100.0,-187.0,-6005.936321556649,-6111.934977486272
100.0,-185.0,-5950.0974427914625,-6054.285292980239
100.0,-183.0,-5894.313199555118,-5996.727225283559
100.0,-181.0,-5838.790298396395,-5939.1373695951415
100.0,-179.0,-5783.300261788685,-5881.601260888346
100.0,-177.0,-5727.837625758471,-5824.113447807975
100.0,-175.0,-5672.397455179312,-5766.66900411161
100.0,-173.0,-5616.975279816316,-5709.2634654622825
100.0,-171.0,-5561.567039641481,-5651.892775334226
100.0,-169.0,-5506.169037859428,-5594.5532385062215
100.0,-167.0,-5450.77790038099,-5537.2414809066695
100.0,-165.0,-5395.390540716683,-5479.9544148028945
100.0,-163.0,-5340.004129447943,-5422.6892085085055
100.0,-160.0,-5256.920662696284,-5336.826751139034
125.0,-193.0,-6190.8735610126505,-6301.27621991347
125.0,-191.0,-6134.248197593953,-6242.753302671575
125.0,-189.0,-6077.711232219958,-6184.367959215729
125.0,-187.0,-6021.2569935548645,-6126.111914961863
125.0,-185.0,-5964.917558185258,-6067.970862458051
125.0,-183.0,-5908.614660115774,-6009.953848607538
125.0,-181.0,-5852.358897547307,-5952.0657054662215
125.0,-179.0,-5796.464398649907,-5894.131027217783
125.0,-177.0,-5740.61866127294,-5836.265614386397
125.0,-175.0,-5684.815037757915,-5778.4628740712815
125.0,-173.0,-5629.047530551041,-5720.716853848023
125.0,-171.0,-5573.3107124186645,-5663.022163692136
125.0,-169.0,-5517.599658431102,-5605.37390933477
125.0,-167.0,-5461.9098876959415,-5547.7676351037035
125.0,-165.0,-5406.237313214827,-5490.199274679133
125.0,-163.0,-5350.578198545949,-5432.665108489086
125.0,-160.0,-5267.107352224593,-5346.420591057774
150.0,-191.0,-6151.0290047217795,-6258.250374981773
150.0,-189.0,-6093.894557230595,-6199.295962773838
150.0,-187.0,-6036.869930649206,-6140.504719308392
150.0,-185.0,-5979.9947467134925,-6081.859920419401
150.0,-183.0,-5923.167357731573,-6023.36582853193
150.0,-181.0,-5866.435542614467,-5965.012746610076
150.0,-179.0,-5809.798066970443,-5906.797318535483
150.0,-177.0,-5753.554111695473,-5848.541370431948
150.0,-175.0,-5697.37354726279,-5790.368823981067
150.0,-173.0,-5641.248638010689,-5732.272052581507
150.0,-171.0,-5585.172410772287,-5674.244174960526
150.0,-169.0,-5529.138560211947,-5616.278963448697
150.0,-167.0,-5473.1413683178935,-5558.370765843974
150.0,-165.0,-5417.175635585396,-5500.514438520374
150.0,-163.0,-5361.236621912965,-5442.705288896143
150.0,-160.0,-5277.368824760817,-5356.070734584289
