Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	534.314285714286	-178.252597533994	1846.85855064553	5.24690225707821E-06	0.998626446458398	1.79966139087796E-05	0.00135555692769283	0.999265910494372	7.42322525938641E-06	0.000726666280369006
42__Main Tower	534.314285714286	-178.243911827242	1846.2966228825	3431.9144853804	0.997428421254893	4.36100925202675E-05	0.0025279686525866	0.998626446459376	1.79966138926144E-05	0.00135555692673134
41__Main Tower	534.933797909408	-178.22021989909	1846.09322483992	3479.99453908453	0.996237430252719	7.64795466629282E-05	0.00368609020061779	0.997990839172492	3.15857383954058E-05	0.00197757508911275
40__Main Tower	535.55331010453	-178.196558317523	1845.88970824686	3479.79114104196	0.995052607494726	0.000118607458466102	0.00482878504680809	0.997359029406864	4.90228857434767E-05	0.00259194770739233
39__Main Tower	536.172822299652	-178.172911838008	1845.68481219389	3479.5876244489	0.993872514772006	0.000172538760352968	0.00595494646764132	0.996730557269628	7.13697553538196E-05	0.00319807297501823
38__Main Tower	536.792334494774	-178.149258712978	1845.47683336193	3479.38272839593	0.992695003686794	0.000241504724408068	0.00706349158879787	0.996104660212588	9.99755494687427E-05	0.00379536423794338
37__Main Tower	537.411846689895	-178.125569072681	1845.2635193759	3479.17474956396	0.991517043580916	0.000329603975156709	0.00815335244392728	0.995480200291437	0.000136553188277562	0.00438324652028561
36__Main Tower	538.031358885017	-178.101802900805	1845.04193218937	3478.96143557793	0.990334506907907	0.000442029775777545	0.00922346331631494	0.994855573451069	0.000183275162312121	0.0049611513866191
35__Main Tower	538.650871080139	-178.077907506067	1844.8082756955	3478.73984839141	0.989141901771883	0.000585354781920628	0.0102727434461963	0.9942285964227	0.000242893846333969	0.00552850973096569
34__Main Tower	539.270383275261	-178.053814369689	1844.55768008702	3478.50619189754	0.98793203920196	0.000767886838878862	0.011300073959161	0.993596365854764	0.000318892166722061	0.0060847419785135
33__Main Tower	539.889895470383	-178.029435224312	1844.28393359184	3478.25559628905	0.986695620302611	0.00100011209631351	0.0123042676010756	0.992955083187544	0.000415671751730805	0.00662924506072556
32__Main Tower	540.509407665505	-178.004657193032	1843.97915056168	3477.98184979388	0.985420725803695	0.00129524464536683	0.0132840295509385	0.992299837539638	0.00053878708473367	0.00716137537562854
31__Main Tower	541.128919860627	-177.97933678941	1843.63336324593	3477.67706676372	0.984092187918423	0.00166990485007396	0.0142379072315032	0.991624337555092	0.000695235671714702	0.00768042677319387
30__Main Tower	541.748432055749	-177.95329255317	1843.23402339799	3477.33127944797	0.982690822164755	0.00214495116863849	0.0151642266666069	0.99092058187503	0.000893815709764977	0.00818560241520533
29__Main Tower	542.367944250871	-177.926296077473	1842.76539952447	3476.93193960003	0.981192495550949	0.00274649186584428	0.0160610125832071	0.990178456854636	0.00114556398351736	0.00867597916184623
28__Main Tower	542.987456445993	-177.898061180753	1842.2078566484	3476.46331572651	0.979567008326864	0.00350710247463658	0.0169258891984993	0.989385249705215	0.00146428733707913	0.00915046295770612
27__Main Tower	543.606968641115	-177.86823100396	1841.53700992562	3475.90577285044	0.977776771048164	0.00446727035770421	0.0177559585941316	0.988525065995193	0.0018672004327981	0.00960773357200875
26__Main Tower	544.226480836237	-177.836362895265	1840.72275174568	3475.23492612766	0.975775269580295	0.00567707644962722	0.0185476539700779	0.987578143329072	0.00237567960242636	0.0100461770685014
25__Main Tower	544.845993031359	-177.801911112982	1839.72816871977	3474.42066794772	0.973505331706994	0.00719810208088145	0.0192965662121243	0.986520059466079	0.00301613587309322	0.0104638046608276
24__Main Tower	545.465505226481	-177.764207682559	1838.508392004	3473.42608492181	0.970897245565506	0.00910550984725632	0.0199972445872376	0.985320845214997	0.00382099744333611	0.0108581573416665
23__Main Tower	546.085017421603	-177.7224422512	1837.0094682699	3472.20630820604	0.96786683927366	0.0114901840471008	0.0206429766792391	0.9839440330254	0.00482976983787159	0.011226197136728
22__Main Tower	546.704529616725	-177.675642576499	1835.16740347302	3470.70738447194	0.964313721247656	0.014460718966143	0.0212255597862007	0.982345704991102	0.0060901065909044	0.0115641884179937
21__Main Tower	547.324041811847	-177.622658452426	1832.90762326111	3468.86531967506	0.960120010122818	0.0181449029304547	0.0217350869467271	0.980473653246589	0.00765876984538663	0.0118675769080242
20__Main Tower	547.943554006969	-177.562153485639	1830.14521310634	3466.60553946315	0.955150056444391	0.0226901570835169	0.0221597864720918	0.978266835335285	0.00960228429690429	0.0121308803678108
19__Main Tower	548.563066202091	-177.492611177681	1826.78643948624	3463.84312930838	0.94925186912418	0.028262156268089	0.0224859746077312	0.9756553983787	0.0119969876955461	0.0123476139257541
18__Main Tower	549.182578397213	-177.412364054512	1822.73218605579	3460.48435568828	0.942261179040772	0.0350406156388138	0.0226982053204143	0.972561653482858	0.0149280619537714	0.012510284563371
17__Main Tower	549.802090592335	-177.319656590787	1817.88400459026	3456.43010225783	0.934009231659475	0.0432110438181442	0.022779724522381	0.968902487328649	0.0184870103211173	0.0126105023502336
16__Main Tower	550.421602787457	-177.212753367205	1812.15338651156	3451.5819207923	0.924335375494904	0.0529512761566904	0.022713348348406	0.964593761186432	0.0227669712649324	0.0126392675486356
15__Main Tower	551.041114982579	-177.090101620438	1805.47446504273	3445.8513027136	0.913105118889432	0.0644120112591191	0.0224828698514488	0.95955719941206	0.0278553039599975	0.0125874966279427
14__Main Tower	551.6606271777	-176.95054999913	1797.81953160437	3439.17238124477	0.900233354558807	0.0776916115204151	0.0220750339207776	0.953730013240638	0.0338231497889814	0.0124468369703803
13__Main Tower	552.280139372822	-176.79361116334	1789.21545759969	3431.51744780641	0.885710773341792	0.0928072395615559	0.0214819870966519	0.947076942462228	0.0407122795639907	0.0122107779737815
12__Main Tower	552.899651567944	-176.619735047253	1779.75757454167	3422.91337380173	0.869629255881413	0.109666837056202	0.0207039070623856	0.939603489789847	0.0485205234530422	0.0118759867571103
11__Main Tower	553.519163763066	-176.43053644929	1769.61639901547	3413.45549074371	0.85219988501251	0.128048827601786	0.0197512873857039	0.931367995998697	0.0571883200137629	0.0114436839875405
10__Main Tower	554.138675958188	-176.228904827673	1759.03270269528	3403.31431521751	0.833756333999154	0.147597472807691	0.0186461931931554	0.922489240081641	0.0665900017568394	0.0109207581615195
9__Main Tower	554.75818815331	-176.018928845888	1748.2986027368	3392.73061889732	0.814738053315268	0.167840103984254	0.0174218427004774	0.913146061456976	0.0765336867855671	0.0103202517574569
8__Main Tower	555.377700348432	-175.805602730142	1737.72645370031	3381.99651893884	0.795652409786252	0.188227393244093	0.016120196969655	0.903566673632517	0.0867724193878045	0.00966090697967815
7__Main Tower	555.997212543554	-175.594341931643	1727.61188968557	3371.42436990235	0.777021529303492	0.208190662975832	0.0147878077206765	0.894007948684907	0.0970263857917627	0.00896566552332988
6__Main Tower	556.616724738676	-175.390400191086	864.706727018238	3361.30980588761	0.759325205980927	0.227204032914229	0.013470761104844	0.884728200894836	0.107012470281408	0.00825932882375662
5__Main Tower	557.236236933798	-175.198317862052	860.370042965919	3351.89798064072	0.742952895307643	0.244837230793447	0.01220987389891	0.875959405522192	0.116474721867852	0.00756587260995692
4__Main Tower	557.85574912892	-175.102099802104	2235.3883194543	3347.5612965884	0.735522232519712	0.252860902017118	0.0116168654631702	0.871902589601253	0.120863253063562	0.00723415733518576
