Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	528.6	-178.401608612903	2122.41362206149	0.000326826132883605	0.999976086768215	4.01825044322364E-08	2.38730492808015E-05	0.999987215308755	1.65160242115608E-08	1.27681752205717E-05
42__Main Tower	528.6	-178.401458882925	2122.28085669838	3444.08494966348	0.999955266288216	9.77608533367145E-08	4.46359509304745E-05	0.999976086769271	4.01825021864079E-08	2.38730482270054E-05
41__Main Tower	529.219512195122	-178.386138071602	2122.57082814751	3484.51084085693	0.999931551726299	1.8301872945259E-07	6.82652549715546E-05	0.999963405819735	7.5251248768331E-08	3.65189290157234E-05
40__Main Tower	529.839024390244	-178.370806372575	2122.8688082156	3484.80081230606	0.999904541187075	3.09218085702915E-07	9.51495948398446E-05	0.999948960748045	1.27183171883405E-07	5.09120687827107E-05
39__Main Tower	530.458536585366	-178.355460392842	2123.17163219485	3485.09879237415	0.999873774320049	4.95957892993992E-07	0.000125729722057972	0.999932506402797	2.04059418683122E-07	6.7289537784265E-05
38__Main Tower	531.078048780488	-178.340096226659	2123.47640740238	3485.4016163534	0.999838722470162	7.72193469694017E-07	0.000160505336368542	0.999913761989668	3.17823211110233E-07	8.5920187120945E-05
37__Main Tower	531.69756097561	-178.324709358828	2123.78090487911	3485.70639156094	0.99979877652435	1.18069001567649E-06	0.000200042785634403	0.99989240506652	4.86120237636221E-07	0.000107108813242612
36__Main Tower	532.317073170732	-178.309294541428	2124.08351499142	3486.01088903766	0.999753231655407	1.78458946993067E-06	0.000244983755123447	0.999868064126156	7.3501339955158E-07	0.000131200860444509
35__Main Tower	532.936585365854	-178.293845633945	2124.3830744662	3486.31349914997	0.999701267843512	2.67709019804727E-06	0.000296055066290273	0.999840309286418	1.10298597059468E-06	0.000158587727611046
34__Main Tower	533.556097560976	-178.27835539239	2124.67868579902	3486.61305862475	0.999641924577449	3.99570995291118E-06	0.0003540797125977	0.999808640407324	1.64684259869263E-06	0.0001897127500777
33__Main Tower	534.175609756098	-178.262815186568	2124.96956432976	3486.90866995757	0.999574067435859	5.94329440964974E-06	0.000419989269731652	0.999772471661586	2.45040475242491E-06	0.000225077933661859
32__Main Tower	534.79512195122	-178.24721461527	2125.2549131761	3487.19954848831	0.999496343223917	8.81894939470971E-06	0.000494837826688836	0.999731111156705	3.6373191039227E-06	0.000265251524191473
31__Main Tower	535.414634146342	-178.231540975423	2125.53381514187	3487.48489733466	0.9994071188447	1.30635654178832E-05	0.000579817589881739	0.999683733582203	5.38991677041367E-06	0.000310876501026836
30__Main Tower	536.034146341464	-178.215778521162	2125.80512813488	3487.76379930043	0.99930439690041	1.93267884068086E-05	0.000676276311183023	0.999629342944071	7.976970187075E-06	0.000362680085742308
29__Main Tower	536.653658536585	-178.199907419432	2126.06736871394	3488.03511229343	0.999185697830995	2.85654916109625E-05	0.000785736677394442	0.999566721117972	1.17945268283357E-05	0.000421484355200158
28__Main Tower	537.273170731707	-178.183902265887	2126.31856980301	3488.29735287249	0.999047893748523	4.21884874291053E-05	0.000909917764047503	0.999494356011244	1.74259506116454E-05	0.000488218038143775
27__Main Tower	537.892682926829	-178.16772996228	2126.55609072943	3488.54855396156	0.998886972351581	6.2269061665152E-05	0.00105075858675359	0.999410340292303	2.57301570176015E-05	0.000563929550679549
26__Main Tower	538.512195121951	-178.151346665477	2126.77635235999	3488.78607488799	0.998697699451711	9.18568944690618E-05	0.00121044365382	0.999312227522392	3.79711989525867E-05	0.00064980127865575
25__Main Tower	539.131707317073	-178.134693385684	2126.97445840291	3489.00633651855	0.998473134348462	0.000135435456029243	0.00139143019550911	0.999196826529631	5.6008441921481E-05	0.000747165028447992
24__Main Tower	539.751219512195	-178.117689619507	2127.14364709048	3489.20444256146	0.998203931617876	0.000199592029090951	0.00159647635303328	0.999059906172336	8.25754117547171E-05	0.000857518415909569
23__Main Tower	540.370731707317	-178.100224126195	2127.27449410823	3489.37363124904	0.997877333130428	0.000293997921649827	0.00182866894792229	0.99889577007978	0.000121688216673797	0.000982541703546143
22__Main Tower	540.990243902439	-178.082141557564	2127.35375480111	3489.50447826679	0.997475711595116	0.000432840057680024	0.00209144834720372	0.998696642908146	0.000179242933128925	0.00112411415872509
21__Main Tower	541.609756097561	-178.063223085828	2127.36268784498	3489.58373895967	0.996974466757819	0.000636907128889613	0.00238862611329087	0.99845178389798	0.00026388782405692	0.00128432827796362
