Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	548.6	-177.64114446328	1535.10302356328	1.75861729549397E-05	0.969060388049422	0.026822494093715	0.00411711785686317	0.986456060548034	0.011295258265282	0.00224868118668436
42__Main Tower	548.6	-177.280818069694	1515.10270815259	3384.3687026383	0.930062684009049	0.062541244632622	0.00739607135832855	0.969060388139815	0.0268224940130309	0.00411711784715422
41__Main Tower	549.219512195122	-176.911041312419	1496.94195534106	3421.11833799693	0.892600871450109	0.0975862088222996	0.00981291972759099	0.951789565805125	0.0426411738495773	0.00556926034529744
40__Main Tower	549.839024390244	-176.562812870472	1481.06324731653	3402.9575851854	0.858268105900904	0.130277206805367	0.0114546872937285	0.935426275632085	0.0579510552243379	0.00662266914357672
39__Main Tower	550.458536585366	-176.248786012001	1467.81104984644	3387.07887716088	0.828160777811408	0.159381133377324	0.0124580888112673	0.920614401753707	0.0720599916655785	0.00732560658071421
38__Main Tower	551.078048780488	-175.976346348729	1457.16358436113	3373.82667969079	0.802771926804341	0.184248075667982	0.0129799975276761	0.907760853677871	0.084493220449249	0.00774592587287989
37__Main Tower	551.69756097561	-175.747530532155	1448.84780488174	3363.17921420547	0.782059510893514	0.204770749754508	0.0131697393519776	0.897012639629935	0.0950302254778554	0.00795713489221006
36__Main Tower	552.317073170732	-175.560189327583	1442.47161448303	3354.86343472608	0.765613140030458	0.22123538814792	0.0131514718216228	0.888301270625208	0.103672101934781	0.00802662744001049
35__Main Tower	552.936585365854	-175.409621649015	1437.62684191461	3348.48724432738	0.752833668686328	0.234148397285207	0.0130179340284649	0.881418758087071	0.110572277330944	0.00800896458198517
34__Main Tower	553.556097560976	-175.290054245932	1433.94961952866	3343.64247175896	0.743073625793195	0.244094044936812	0.0128323292699924	0.876091914891781	0.11596398744777	0.0079440976604488
33__Main Tower	554.175609756098	-175.195681290842	1431.14475928369	3339.965249373	0.735724273131603	0.251641596869676	0.0126341299987208	0.872037333242008	0.120103841091773	0.00785882566621984
32__Main Tower	554.79512195122	-175.121249703563	1428.98720177041	3337.16038912803	0.730257518338859	0.257296806704438	0.0124456749567032	0.868993948691842	0.123236403804271	0.0077696475038875
31__Main Tower	555.414634146342	-175.062302541006	1427.31214464027	3335.00283161476	0.726237828728365	0.261484253010045	0.01227791826159	0.866737763008003	0.125576486041736	0.007685750950261
30__Main Tower	556.034146341464	-175.015212156136	1426.00159252876	3333.32777448461	0.723317670799204	0.26454753862601	0.0121347905747861	0.86508513837446	0.127303335092938	0.00761152653260259
29__Main Tower	556.653658536585	-174.977106340713	1424.97155458721	3332.0172223731	0.721225745652243	0.266758033186344	0.0120162211614131	0.863890011531824	0.12856155160313	0.00754843686504643
28__Main Tower	557.273170731707	-174.945753276904	1424.16162731141	3330.98718443155	0.719753409563033	0.268326498039974	0.0119200923969926	0.863038570554352	0.129465133927902	0.00749629551774651
27__Main Tower	557.892682926829	-174.919441514498	1423.52750348695	3330.17725715575	0.718741856266452	0.269414712855729	0.0118434308778186	0.862443411098033	0.130102502461328	0.00745408644063812
26__Main Tower	558.512195121951	-174.896871014466	1423.03572688521	3329.54313333129	0.718071134707505	0.270145777741328	0.0117830875511673	0.86203810299557	0.130541437333981	0.00742045967044867
25__Main Tower	559.131707317073	-174.877061546228	1422.66045230158	3329.05135672955	0.717651192438013	0.27061271264697	0.0117360949150172	0.861772564586819	0.130833423464326	0.00739401194885499
24__Main Tower	559.751219512195	-174.859278437818	1422.38146060187	3328.67608214592	0.717414767185401	0.270885402988244	0.0116998298263559	0.861609284125946	0.131017283180083	0.00737343269397144
23__Main Tower	560.370731707317	-174.842973801275	1422.18301883525	3328.39709044621	0.717311835202961	0.271016099711911	0.0116720650851281	0.861520315239302	0.131122115539411	0.007357569221287
22__Main Tower	560.990243902439	-174.827740610255	1422.05301064858	3328.19864867959	0.717305361800104	0.271043677937914	0.0116509602619815	0.861484923253901	0.131169630668176	0.00734544607792288
21__Main Tower	561.609756097561	-174.813277773505	1421.9822748259	3328.06864049292	0.717367939188608	0.270997033931489	0.0116350268799035	0.86148778922836	0.131175951605554	0.00733625916608629
20__Main Tower	562.229268292683	-174.799362412948	1421.96358799	3327.99790467025	0.717479313306748	0.270897607416631	0.0116230792766213	0.861517591771125	0.131153048763895	0.00732935946498001
19__Main Tower	562.848780487805	-174.785830046159	1421.99107340564	3327.97921783434	0.717624542167253	0.270761273889742	0.0116141839430052	0.861565988600252	0.131109781028135	0.0073242303716131
18__Main Tower	563.468292682927	-174.77255965421	1422.05975985545	3328.00670324998	0.717792627212453	0.27059976017509	0.011607612612457	0.861626852017649	0.131052682906443	0.00732046507590744
17__Main Tower	564.087804878049	-174.75946258846	1422.1652012233	3328.07538969979	0.717975499298153	0.270421699398233	0.0116028013036132	0.861695701410993	0.130986552773746	0.00731774581526092
16__Main Tower	564.707317073171	-174.746474387867	1422.30318934387	3328.18083106764	0.718167275335124	0.270233408930423	0.0115993157344528	0.861769285447441	0.130914888749134	0.00731582580342523
15__Main Tower	565.326829268293	-174.733548778988	1422.46958072557	3328.31881918821	0.718363716331061	0.27003946079989	0.0115968228690487	0.861845276315042	0.13084020965023	0.00731451403472802
14__Main Tower	565.946341463415	-174.720653265338	1422.66022833008	3328.48521056992	0.718561830457799	0.269843101505076	0.0115950680371256	0.861922045338745	0.130764291785824	0.00731366287543126
13__Main Tower	566.565853658537	-174.707765844962	1422.870983535	3328.67585817443	0.718759577506488	0.2696465655887	0.0115938569048115	0.861998496170273	0.13068834564609	0.00731315818363686
12__Main Tower	567.185365853659	-174.694872522033	1423.09772311438	3328.88661337935	0.718955643530377	0.26945131496752	0.0115930415021029	0.862073938365503	0.130613150034878	0.00731291159961834
11__Main Tower	567.804878048781	-174.681965389316	1423.33636669963	3329.11335295872	0.71914926553639	0.269258224956462	0.0115925095071486	0.862147989936639	0.130539155457296	0.00731285460606479
10__Main Tower	568.424390243903	-174.669041140795	1423.58285887899	3329.35199654398	0.719340094810552	0.269067729153177	0.011592176036271	0.862220501737096	0.130466564292632	0.00731293397027181
9__Main Tower	569.043902439025	-174.656099938852	1423.83315153978	3329.59848872333	0.719528091048941	0.268879931604881	0.0115919773461781	0.862291499890073	0.130395391896882	0.00731310821304534
8__Main Tower	569.663414634147	-174.6431445401	1424.08317925448	3329.84878138412	0.71971344667851	0.26869468748193	0.0115918658395597	0.86236114136759	0.130325513736626	0.00731334489578434
7__Main Tower	570.282926829268	-174.630179679056	1424.32890881659	3330.09880909883	0.719896531196053	0.268511662605375	0.0115918061985721	0.862429682761158	0.130256698783009	0.00731361845583352
6__Main Tower	570.90243902439	-174.617211558937	428.845250360874	3330.34453866093	0.720077851164336	0.268330376482984	0.0115917723526798	0.862497454419698	0.130188636961255	0.00731390861904705
5__Main Tower	571.521951219512	-174.604246488967	428.883582674812	3330.58323202766	0.720257197264297	0.26815103659902	0.0115917661366828	0.862564789370473	0.130121009902477	0.00731420072704925
4__Main Tower	572.141463414634	-174.590405005169	1805.1615324416	3330.62156434159	0.720356375032977	0.268052868787799	0.0115907561792239	0.862586243847502	0.130099506995066	0.00731424915743266
3__Main Tower	572.760975609756	-174.1425735889	1785.031128107	3212.18289993866	0.681162476474113	0.306144826805089	0.0126926967207981	0.83954084647729	0.152246076327271	0.00821307719543932
2__Main Tower	573.380487804878	-173.736544435552	1768.0372832885	3192.05249560407	0.646839760391935	0.339856871989205	0.0133033676188605	0.818374810689374	0.172817195795048	0.00880799351557889
1__Main Tower	574	-173.386868358144	1824.816633306	3175.05865078557	0.618280245740378	0.368204965551026	0.0135147887085964	0.799996543387842	0.190876201947842	0.0091272546643162
