Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	537.171428571429	-178.193113830317	2118.145082757	4.41277586121428E-06	0.999972832886452	4.9310063110066E-08	2.7117803484587E-05	0.999985433364535	2.03591563745445E-08	1.45462763082706E-05
42__Main Tower	537.171428571429	-178.192944209537	2118.0680713215	3439.83082402483	0.999949326658811	1.19428347793737E-07	5.05539128407394E-05	0.999972832886468	4.93100630729264E-08	2.71178034684597E-05
41__Main Tower	537.790940766551	-178.177778582614	2118.38704203606	3480.31401661907	0.999922650810435	2.22707490636009E-07	7.71264820746095E-05	0.999958527341048	9.19830228389498E-08	4.13806759294585E-05
40__Main Tower	538.410452961672	-178.16259942766	2118.69615852944	3480.63298733363	0.9998923775322	3.747785332124E-07	0.000107247689266948	0.999942291010906	1.54843414313944E-07	5.75541456797677E-05
39__Main Tower	539.029965156794	-178.147403130914	2118.99891853031	3480.94210382701	0.999858018399061	5.98619233898608E-07	0.000141382981705538	0.999923863255574	2.47408387250788E-07	7.58893360382919E-05
38__Main Tower	539.649477351916	-178.13218554252	2119.29751820339	3481.24486382788	0.999819014099347	9.27997212256732E-07	0.000180057903440672	0.99990294645672	3.83669059457872E-07	9.66698742210025E-05
37__Main Tower	540.268989547038	-178.116941874311	2119.59304538115	3481.54346350096	0.999774721728744	1.41252178102732E-06	0.000223865749474569	0.99987919976737	5.84187629297879E-07	0.000120216045000908
36__Main Tower	540.88850174216	-178.10166656919	2119.88580021588	3481.83899067872	0.999724398806651	2.12505354007066E-06	0.000273476139809452	0.999852231378698	8.79174420504431E-07	0.000146889446881564
35__Main Tower	541.508013937282	-178.086353131232	2120.17556801175	3482.13174551344	0.999667182809582	3.17256834586078E-06	0.000329644622072665	0.99982158878758	1.31300122793743E-06	0.000177098211192209
34__Main Tower	542.127526132404	-178.070993900868	2120.46180358841	3482.42151330932	0.999602064498787	4.71208033160824E-06	0.000393223420881172	0.999786746330643	1.95081907867333E-06	0.000211302850277819
33__Main Tower	542.747038327526	-178.055579752636	2120.74373361042	3482.70774888598	0.999527852570388	6.9739709890873E-06	0.000465173458623455	0.999747088936442	2.8882580788577E-06	0.000250022805479314
32__Main Tower	543.366550522648	-178.040099682962	2121.02039435477	3482.98967890799	0.999443126068591	1.0296155306356E-05	0.000546577776103008	0.999701890591523	4.26563931465645E-06	0.000293843769162297
31__Main Tower	543.98606271777	-178.024540240851	2121.29062004295	3483.26633965234	0.999346169421489	1.51740977235397E-05	0.000638656480787232	0.999650285353734	6.28878922414421E-06	0.000343425857042295
30__Main Tower	544.605574912892	-178.008884733167	2121.5529903314	3483.53656534052	0.999234882661363	2.23339969367096E-05	0.000742783341700019	0.999591227783374	9.25951055685608E-06	0.000399512706069063
