Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	542.885714285714	-178.055464128313	2115.19138949375	4.40147673202185E-06	0.999970471220909	5.64155685665376E-08	2.9472363522545E-05	0.999984136676978	2.33621231017288E-08	1.58399608989854E-05
42__Main Tower	542.885714285714	-178.055280108682	2115.06931907245	3436.83942486543	0.999945026825777	1.36232713533145E-07	5.48369415093435E-05	0.999970471220926	5.64155685242069E-08	2.94723635050863E-05
41__Main Tower	543.505226480836	-178.040214006407	2115.3639942994	3477.27538890533	0.999916221789275	2.53385651229728E-07	8.35248250741421E-05	0.999954994546385	1.04964727153823E-07	4.49004888880415E-05
40__Main Tower	544.124738675958	-178.025132566795	2115.66537753547	3477.57006413229	0.999883611675224	4.252794751984E-07	0.000115963045301171	0.999937471944916	1.76230097961693E-07	6.23518249856228E-05
39__Main Tower	544.74425087108	-178.010032030598	2115.96985721543	3477.87144736835	0.999846689756174	6.77410740673664E-07	0.000152632833085576	0.999917632656794	2.80803562184536E-07	8.20865396434673E-05
38__Main Tower	545.363763066202	-177.994908085819	2116.27456801381	3478.17592704831	0.999804876582647	1.04711784199269E-06	0.000194076299511071	0.999895168000573	4.34201825808245E-07	0.000104397797600952
37__Main Tower	545.983275261324	-177.979755762488	2116.57750114092	3478.48063784669	0.999757507011413	1.58906421957647E-06	0.000240903924367493	0.999869725016466	6.59149418157807E-07	0.000129615834116195
36__Main Tower	546.602787456446	-177.96456929745	2116.87731649997	3478.7835709738	0.999703813794133	2.38325238645853E-06	0.000293802953480175	0.999840898557042	9.88916710287844E-07	0.000158112526247455
35__Main Tower	547.222299651568	-177.949341957727	2117.17309256034	3479.08338633285	0.999642906464428	3.5467328120781E-06	0.000353546802759383	0.999808221284568	1.47219884590765E-06	0.000190306516585905
34__Main Tower	547.84181184669	-177.934065806045	2117.46410490299	3479.37916239322	0.99957374372482	5.2507049319251E-06	0.000421005570247811	0.999771150808829	2.18024439187652E-06	0.00022666894677913
33__Main Tower	548.461324041812	-177.918731384927	2117.74965601569	3479.67017473587	0.999495096753762	7.74548387609289E-06	0.000497157762361837	0.99972905287085	3.21726723695169E-06	0.000267729861913332
32__Main Tower	549.080836236934	-177.903327285271	2118.02895002772	3479.95572584858	0.999405499720312	1.13969360357355E-05	0.000583103343652484	0.999681179001833	4.7356480203608E-06	0.000314085350147036
31__Main Tower	549.700348432056	-177.887839550212	2118.30099490224	3480.2350198606	0.999303182153659	1.67396288237268E-05	0.000680078217517131	0.999626636397308	6.95811919508212E-06	0.000366405483497209
