Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	545.742857142857	-177.713211887383	1537.02517878492	3.13647188135001E-06	0.969448259394622	0.0264440865464089	0.00410765405896914	0.986641253354019	0.0111177749252486	0.00224097172073196
42__Main Tower	545.742857142857	-177.357076609008	1517.28688620358	3386.2689369166	0.930841727133358	0.0617695218062435	0.00738875106039874	0.969448259410547	0.0264440865322131	0.00410765405724016
41__Main Tower	546.362369337979	-176.990416996046	1499.43827141898	3423.28027118861	0.893652641353396	0.0965333449223622	0.00981401372424144	0.952336839812654	0.0421012385685232	0.00556192161882324
40__Main Tower	546.981881533101	-176.6440256516	1483.94371902796	3405.43165640401	0.859459532615165	0.129073118622363	0.0114673487624719	0.936074854226347	0.0573049367936216	0.00662020898003108
39__Main Tower	547.601393728223	-176.330505400796	1471.14706584505	3389.93710401298	0.829364985467475	0.158152485191389	0.0124825293411365	0.921300734763497	0.0713699075328421	0.00732935770366058
38__Main Tower	548.220905923345	-176.057380483472	1460.99773792728	3377.14045083007	0.803883046726291	0.183102607577964	0.0130143456957454	0.908425302144974	0.0838187877132529	0.00775591014177362
37__Main Tower	548.840418118467	-175.826950698121	1453.18922586038	3366.9911229123	0.782999925955555	0.203789009716432	0.0132110643280129	0.897606549006082	0.0944210239513669	0.00797242704255148
36__Main Tower	549.459930313589	-175.637373100769	1447.29137804806	3359.1826108454	0.76633392048385	0.220469437239382	0.013196642276768	0.888790331360678	0.103163860794698	0.00804580784462442
35__Main Tower	550.079442508711	-175.484237945038	1442.86588792424	3353.28476303308	0.753311164576112	0.233624679441335	0.0130641559825528	0.881783282459359	0.11018621910476	0.00803049843588076
34__Main Tower	550.698954703833	-175.362013593767	1439.52874741395	3348.85927290927	0.743304241296848	0.243818357788526	0.0128774009146252	0.876324955081232	0.115708455610039	0.00796658930872872
33__Main Tower	551.318466898955	-175.265074631635	1436.97432195099	3345.52213239897	0.735719020545554	0.251604483917189	0.012676495537257	0.872141829435607	0.119977023997917	0.00788114656647635
32__Main Tower	551.937979094077	-175.188290272111	1434.9750373808	3342.96770693601	0.730037189137323	0.257478447020729	0.0124843638419478	0.868979770344135	0.123229259978361	0.00779096967750406
31__Main Tower	552.557491289199	-175.127277579876	1433.36938192771	3340.96842236582	0.725829097210295	0.261858468082657	0.0123124347070478	0.866619119455089	0.125675356674442	0.00770552387046919
30__Main Tower	553.177003484321	-175.078446047561	1432.04658830004	3339.36276691274	0.722750142841944	0.265084863442994	0.0121649937150621	0.864878533897592	0.127492037926244	0.00762942817616357
29__Main Tower	553.796515679443	-175.038934051172	1430.93240856221	3338.03997328506	0.720529826120268	0.267427956994107	0.0120422168856252	0.863612739472192	0.128822941524238	0.00756431900356962
28__Main Tower	554.416027874565	-175.006502055316	1429.9777064284	3336.92579354723	0.718958784478171	0.269099069364011	0.0119421461578187	0.862707661837809	0.129782204158226	0.00751013400396451
27__Main Tower	555.035540069686	-174.979418493503	1429.15007060618	3335.97109141342	0.717876454820246	0.270261643518731	0.0118619016610225	0.86207491743353	0.130459141301288	0.0074659412651825
26__Main Tower	555.655052264808	-174.956355324415	1428.42799137617	3335.1434555912	0.71716042868502	0.271041190309383	0.0117983810055974	0.86164664096276	0.130922914324861	0.00743044471237896
25__Main Tower	556.27456445993	-174.936299483483	1427.79696514828	3334.4213763612	0.716717742428015	0.271533625841851	0.0117486317301335	0.861371037430669	0.131226689025098	0.00740227354423359
24__Main Tower	556.894076655052	-174.918480999466	1427.24694398372	3333.79035013331	0.716477969498781	0.271812005397724	0.0117100251034945	0.861208740057115	0.131411125140409	0.00738013480247633
