Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	540.028571428571	-178.120963066228	1934.79820727796	4.42842993246363E-05	0.999529961182105	2.24374112854128E-06	0.000467795076766548	0.999747871072431	9.27933585998078E-07	0.000251200993983077
42__Main Tower	540.028571428571	-178.118022245168	1934.54810207208	3431.79189160605	0.999123517640963	5.42451037956849E-06	0.000871057848657799	0.999529961184917	2.24374111156192E-06	0.000467795073971589
41__Main Tower	540.648083623693	-178.100052044102	1934.66427869169	3477.48136682754	0.998701918810606	9.69775482084504E-06	0.00128838343457315	0.999303853695567	4.01322611194118E-06	0.00069213307832143
40__Main Tower	541.267595818815	-178.08197541456	1934.77289220647	3477.59754344715	0.998264543174788	1.54349293340573E-05	0.00172002189587751	0.999069302935258	6.39057347016826E-06	0.000924306491271666
39__Main Tower	541.887108013937	-178.063785904295	1934.87343370329	3477.70615696193	0.997810655849706	2.31327357213838E-05	0.0021662114145729	0.998825963679847	9.5824730814651E-06	0.00116445384707111
38__Main Tower	542.506620209059	-178.045475617798	1934.96540353294	3477.80669845875	0.997339368911697	3.34549685351272E-05	0.00262717611976762	0.998573427800368	1.38653072878465E-05	0.00141270689234427
37__Main Tower	543.126132404181	-178.027034720729	1935.04820556444	3477.89866828841	0.996849588285553	4.72881961557011E-05	0.00310312351829115	0.99831120219831	1.96084348515515E-05	0.00166918936683888
36__Main Tower	543.745644599303	-178.008450778824	1935.12105774616	3477.9814703199	0.996339942881737	6.58157920681563E-05	0.00359424132619461	0.998038679299726	2.73051718910999E-05	0.00193401552838269
35__Main Tower	544.365156794425	-177.989707877752	1935.18290651122	3478.05432250162	0.995808690276727	9.06162783215861E-05	0.00410069344495163	0.99775509770803	3.76139806335494E-05	0.00220728831133687
34__Main Tower	544.984668989547	-177.970785453313	1935.23233166516	3478.11617126668	0.995253591416925	0.000123793840323492	0.0046226147427512	0.99745948984584	5.14131808197048E-05	0.00248909697334001
33__Main Tower	545.604181184669	-177.951656739096	1935.267429196	3478.16559642062	0.994671744471883	0.000168151351197103	0.00516010417691947	0.997150612415483	6.98735521019459E-05	0.00277951403241551
32__Main Tower	546.223693379791	-177.932286709809	1935.2856598694	3478.20069395146	0.994059364913585	0.000227419469653558	0.00571321561676192	0.996826854207905	9.45545714152277E-05	0.00307859122068007
31__Main Tower	546.843205574913	-177.912629361029	1935.28365040677	3478.21892462486	0.993411494968997	0.000306559549350334	0.00628194548165227	0.996486114107193	0.000127531817511789	0.00338635407529543
30__Main Tower	547.462717770035	-177.892624118051	1935.25693137962	3478.21691516223	0.992721620565347	0.000412163459079629	0.00686621597557352	0.99612563997189	0.000171565385671644	0.00370279464243806
29__Main Tower	548.082229965157	-177.872191105216	1935.19959189915	3478.19019613508	0.99198116752101	0.000552980231015494	0.00746585224797446	0.995741816308764	0.000230322118296206	0.00402786157294023
28__Main Tower	548.701742160279	-177.851224930015	1935.10382594701	3478.13285665461	0.99117884078954	0.000740608004792501	0.00808055120566758	0.995329885162998	0.000308668214930632	0.00436144662207127
27__Main Tower	549.321254355401	-177.829586541	1934.95933892749	3478.03709070247	0.990299760853157	0.000990400248416752	0.00870983889842621	0.994883580309395	0.000413053480713878	0.00470336620989166
26__Main Tower	549.940766550523	-177.807092603815	1934.75257567591	3477.89260368295	0.989324339856481	0.00132264778931088	0.00935301235420824	0.99439464955748	0.000552014214206251	0.00505333622831377
25__Main Tower	550.560278745645	-177.783501706905	1934.46572332433	3477.68584043137	0.988226827097534	0.00176411249998462	0.010009060402481	0.993852233796041	0.0007368285340947	0.00541093766986459
24__Main Tower	551.179790940767	-177.75849656476	1934.07543477912	3477.39898807979	0.986973440081342	0.00235000355146656	0.0106765563671914	0.993242064533514	0.000982365589276328	0.00577556987721
23__Main Tower	551.799303135889	-177.731661249682	1933.55121364261	3477.00869953458	0.985519985825816	0.0031265006212256	0.011353513552959	0.992545434798624	0.00130817794154777	0.00614638725982823
22__Main Tower	552.418815331011	-177.70245238999	1932.85340271965	3476.48447839808	0.983808872113524	0.00415393557243721	0.0120371923140386	0.99173789278318	0.0017398930013857	0.00652221421543398
21__Main Tower	553.038327526133	-177.67016329337	1931.930733279	3475.78666747511	0.981765418373712	0.00551073610738676	0.0127238455189017	0.990787606314578	0.00231096186765227	0.00690143181776961
20__Main Tower	553.657839721255	-177.633880212312	1930.71743287039	3474.86399803446	0.979293415459763	0.0072981964188867	0.0134083881213501	0.989653354148328	0.00306481703964255	0.00728182881202975
19__Main Tower	554.277351916376	-177.592430670785	1929.12997378011	3473.65069762585	0.976269976562429	0.00964604574039107	0.0140839776971804	0.988282125691873	0.00405746525027848	0.00766040905784844
18__Main Tower	554.896864111498	-177.544325241885	1927.0637005147	3472.06323853557	0.972539904239859	0.0127185971347659	0.0147414986253754	0.98660636779484	0.00536048355987263	0.00803314864528705
17__Main Tower	555.51637630662	-177.487696876494	1924.38983653712	3469.99696527016	0.967910121886303	0.0167209210874693	0.0153689570262273	0.984541026171783	0.00706427384461269	0.00839469998360422
16__Main Tower	556.135888501742	-177.420246441662	1920.95377599163	3467.32310129258	0.962145243161077	0.0219039344217182	0.0159508224172053	0.981980717691842	0.00928123269764914	0.00873804961050926
15__Main Tower	556.755400696864	-177.339210155356	1916.57612851938	3463.88704074709	0.954966132247945	0.0285664650913012	0.0164674026607541	0.978797669859577	0.0121481754411259	0.00905415469929703
14__Main Tower	557.374912891986	-177.241374359705	1911.05865213222	3459.50939327484	0.946054333892227	0.0370512482376259	0.0168944178701472	0.974841497873727	0.015826887800731	0.00933161432554172
13__Main Tower	557.994425087108	-177.123174628746	1904.19777021464	3453.99191688768	0.9350663556822	0.0477305977448402	0.0172030465729593	0.969942439653443	0.0205010816943038	0.00955647865225365
12__Main Tower	558.61393728223	-176.980926026663	1895.8083531347	3447.13103497009	0.921662475068274	0.060976690063392	0.0173608348683337	0.963920217137606	0.0263674223049344	0.0097123605574599
11__Main Tower	559.233449477352	-176.811231533889	1885.75907237098	3438.74161789016	0.905554046454456	0.0771120225183022	0.0173339310272418	0.956600934518859	0.0336179897058908	0.00978107577525045
10__Main Tower	559.852961672474	-176.611593310678	1874.01703121642	3428.69233712644	0.886569783441457	0.0963391892020021	0.0170910273565411	0.947843803210646	0.0424121337516691	0.00974406303768451
9__Main Tower	560.472473867596	-176.381192170578	1860.69332893292	3416.95029597188	0.864733967843828	0.118657014528706	0.016609017627466	0.937577261087233	0.0528379776240048	0.00958476128876212
8__Main Tower	561.091986062718	-176.12170047124	1846.07444219978	3403.62659368838	0.840338558271341	0.143781812937602	0.0158796287910572	0.925839737340646	0.0648683900040183	0.00929187265533588
7__Main Tower	561.71149825784	-175.837878978554	1830.62124343259	3389.00770695524	0.813981143888925	0.171103545538395	0.01491531057268	0.91281455486462	0.0783224515881952	0.00886299354718433
6__Main Tower	562.331010452962	-175.537648609147	1008.85187703322	3373.55450818805	0.786540032853994	0.19970797440214	0.0137519927438654	0.898843991592319	0.0928484322609105	0.00830757614677093
5__Main Tower	562.950522648084	-175.231407761768	1000.30518532866	3357.86335273128	0.759073672311976	0.228479626209492	0.012446701478532	0.884408591209055	0.107943485311602	0.00764792347934283
4__Main Tower	563.570034843206	-175.057671619975	2378.66058237762	3349.31666102673	0.74434248404616	0.24398092299009	0.0116765929637503	0.876455240369935	0.11630224995797	0.00724250967209531
3__Main Tower	564.189547038328	-174.721728661444	2358.21622230939	3232.95544390597	0.714558545032492	0.27288533605863	0.0125561189088778	0.85962094402698	0.132444875838613	0.0079341801344069
2__Main Tower	564.80905923345	-174.309106526315	2334.22510461382	3212.51108383774	0.678647917265719	0.308123252392814	0.0132288303414664	0.838491001738577	0.15295299891326	0.00855599934816298
1__Main Tower	565.428571428571	-173.825097353082	2377.54313927472	3188.51996614217	0.637662089206868	0.348775788535195	0.0135621222579373	0.813134343615363	0.177847281830865	0.00901837455377143
