Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	537.171428571429	-178.193264827825	2206.84064019405	5.1187907959366E-06	0.999993765721628	9.08986712526858E-09	6.22518850517829E-06	0.999996657006494	3.75299754119178E-09	3.33924050803963E-06
42__Main Tower	537.171428571429	-178.193225709501	2206.74984263464	3439.55588316775	0.999988372675747	2.20158667326051E-08	1.16053083865961E-05	0.999993765721632	9.08986711732618E-09	6.22518850088339E-06
41__Main Tower	537.790940766551	-178.178205610362	2207.08356230675	3477.29448804577	0.99998199151013	4.18702002820919E-08	1.79666196693933E-05	0.999990343203582	1.72929248961383E-08	9.63950349275116E-06
40__Main Tower	538.410452961672	-178.163192001632	2207.4223510902	3477.62820771788	0.999974441288234	7.2356775695854E-08	2.54863549906021E-05	0.999986293195214	2.98939698436619E-08	1.36769108163928E-05
39__Main Tower	539.029965156794	-178.1481796514	2207.76083946531	3477.96699650133	0.999965507325795	1.19155093531855E-07	3.43735191118663E-05	0.999981500744351	4.9244586297693E-08	1.84500110626751E-05
38__Main Tower	539.649477351916	-178.133167954843	2208.09791008186	3478.30548487644	0.999954934459278	1.90971724996151E-07	4.4874568997199E-05	0.999975829465033	7.89508088039889E-08	2.40915841581872E-05
37__Main Tower	540.268989547038	-178.118154658483	2208.43366072128	3478.64255549299	0.999942418791827	3.01149914144798E-07	5.72800582591531E-05	0.999969117248018	1.24540921325911E-07	3.07582110603974E-05
36__Main Tower	540.88850174216	-178.103137066819	2208.76806679351	3478.97830613241	0.999927597398254	4.70133146700159E-07	7.19324685995822E-05	0.999961171011873	1.94487757541893E-07	3.86345003697382E-05
35__Main Tower	541.508013937282	-178.088111940804	2209.10100366693	3479.31271220464	0.999910035351286	7.29234535340592E-07	8.92354141781905E-05	0.999951760161399	3.01773439296017E-07	4.7938065161637E-05
34__Main Tower	542.127526132404	-178.073075366226	2209.43225544914	3479.64564907806	0.99988920913784	1.12640246418837E-06	0.000109664459695928	0.999940608341883	4.66283636190158E-07	5.89253744802993E-05
33__Main Tower	542.747038327526	-178.058022580279	2209.7615151922	3479.97690086027	0.999864485132861	1.73503700888742E-06	0.000133779830130718	0.999927382899182	7.18470004313245E-07	7.18986308138219E-05
32__Main Tower	543.366550522648	-178.042947739157	2210.08837809903	3480.30616060333	0.99983509119688	2.66746714435859E-06	0.000162241335975849	0.999911681199025	1.10495080438063E-06	8.72138501706373E-05
31__Main Tower	543.98606271777	-178.027843601319	2210.41232584243	3480.63302351016	0.999800078563722	4.09554594088229E-06	0.000195825890336796	0.999893012576823	1.69707268097078E-06	0.000105290350496328
30__Main Tower	544.605574912892	-178.012701088761	2210.73269772307	3480.95697125356	0.99975826983404	6.28211239778249E-06	0.000235448053562512	0.999870774117677	2.60399493174194E-06	0.000126621887390865
29__Main Tower	545.225087108014	-177.997508670013	2211.04864325244	3481.2773431342	0.999708186856918	9.62903620358086E-06	0.000282184106878522	0.999844217608237	3.99267826159787E-06	0.000151789713501296
28__Main Tower	545.844599303136	-177.982251480464	2211.35904959288	3481.59328866358	0.999647949214904	1.47505577608089E-05	0.000337300227335712	0.999812403710333	6.11841037983756E-06	0.000181477879287469
27__Main Tower	546.464111498258	-177.966910053047	2211.66243437425	3481.90369500401	0.999575129396706	2.25851944615022E-05	0.000402285408832486	0.999774137458294	9.37140464846932E-06	0.000216491137057335
26__Main Tower	547.08362369338	-177.951458467904	2211.95678869844	3482.20707978538	0.999486543745045	3.45664142007804E-05	0.000478889840754286	0.999727876240541	1.43479046767652E-05	0.000257775854781736
25__Main Tower	547.703135888502	-177.93586163214	2212.23934609495	3482.50143410958	0.999377947697296	5.28827999795068E-05	0.000569169502724377	0.999671596982952	2.19586309097692E-05	0.000306444386138499
24__Main Tower	548.322648083624	-177.920071253317	2212.5062400244	3482.78399150608	0.99924358788164	8.08743838602737E-05	0.000675537734500059	0.999602602541032	3.35940903063915E-05	0.000363803368661758
23__Main Tower	548.942160278746	-177.904019847661	2212.75199320829	3483.05088543553	0.999075539585776	0.000123635968716139	0.000800824445507906	0.999517237181942	5.13764035946847E-05	0.000431386414463031
22__Main Tower	549.561672473868	-177.887611788368	2212.96875365009	3483.29663861943	0.99886272197098	0.00018893467801057	0.000948343351009456	0.999410465783925	7.85426317866755E-05	0.000510991584288383
21__Main Tower	550.18118466899	-177.87070989552	2213.14514989709	3483.51339906122	0.998589429293906	0.000288603701784134	0.00112196700430978	0.99927524846837	0.00012002769620837	0.000604723835421572
20__Main Tower	550.800696864112	-177.853115316332	2213.26457609815	3483.68979530822	0.998233135890509	0.000440655951412695	0.00132620815807879	0.999101608113908	0.000183349686527232	0.000715042199565117
19__Main Tower	551.420209059234	-177.834537328668	2213.30262478181	3483.80922150928	0.997761214014688	0.000672482342647126	0.00156630364266461	0.99887523729798	0.000279952114073569	0.000844810587946056
18__Main Tower	552.039721254356	-177.814548066634	2213.2232612649	3483.84727019294	0.997126031258675	0.00102567610018161	0.001848292641143	0.998575416359647	0.000427234137362126	0.000997349502990539
17__Main Tower	552.659233449477	-177.792514818394	2212.97314615449	3483.76790667604	0.996257649647758	0.0015632768464636	0.002179073505778	0.99817190594493	0.000651611075518896	0.00117648297955073
16__Main Tower	553.278745644599	-177.767499272752	2212.47329074952	3483.51779156562	0.995053014468943	0.00238057589989627	0.00256640963116091	0.997620324551787	0.000993105658506243	0.00138656978970662
15__Main Tower	553.898257839721	-177.738108763541	2211.60695702265	3483.01793616066	0.993360095414427	0.00362107321023207	0.00301883137534109	0.996855314992075	0.00151218633976094	0.00163249866816379
14__Main Tower	554.517770034843	-177.702279394982	2210.2024885996	3482.15160243378	0.990954973757285	0.00549968478257938	0.00354534146013548	0.9957805455414	0.00229984307608038	0.00191961138251927
13__Main Tower	555.137282229965	-177.656966117531	2208.00977830746	3480.74713401073	0.987509535991854	0.00833569672854346	0.00415476727960237	0.994254319641702	0.00349218948520573	0.00225349087309184
12__Main Tower	555.756794425087	-177.597713910678	2204.66982925108	3478.55442371859	0.982547717017987	0.0125977766024874	0.00485450637952502	0.992069410383098	0.00529108048711686	0.00263950912978549
11__Main Tower	556.376306620209	-177.518095855567	2199.67934427568	3475.21447466221	0.975390237146287	0.0189614824786899	0.00564828037502278	0.988926023716932	0.00799201020332156	0.00308196607974642
10__Main Tower	556.995818815331	-177.409046390912	2192.35822961268	3470.22398968681	0.965093714590574	0.0283739058530232	0.00653237955640295	0.984398267055174	0.012019164474183	0.0035825684706434
9__Main Tower	557.615331010453	-177.258224891463	2181.83969460287	3462.90287502381	0.950403647459387	0.042106485963049	0.00748986657756425	0.977898599592971	0.0179634774052925	0.00413792300173654
8__Main Tower	558.234843205575	-177.049762847882	2167.12149808787	3452.384340014	0.929766393827043	0.0617509819492354	0.00848262422372205	0.96865377636107	0.026610482778151	0.00473574086077847
7__Main Tower	558.854355400697	-176.765103689757	2147.23702787108	3437.666143499	0.901482191863186	0.0890752400881935	0.00944256804862027	0.955722088067658	0.038928123463175	0.00534978846916678
6__Main Tower	559.473867595819	-176.386024830479	1457.80215458044	3417.78167328221	0.864107526879317	0.125626032656556	0.0102664404641276	0.938103417161256	0.0559619319244808	0.00593465091426335
5__Main Tower	560.093379790941	-175.900854866044	1436.37858543618	3392.14620778176	0.817163864684384	0.172013328847542	0.0108228064680739	0.9150043699311	0.0785722024882726	0.00642342758062713
