Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	540.028571428571	-177.85796015484	1540.71089643876	1.83017019952505E-05	0.970208301182504	0.025703598537677	0.0040881002798193	0.987003566653731	0.0107711839575386	0.00222524938873019
42__Main Tower	540.028571428571	-177.510055515162	1521.24805914167	3389.92699895976	0.932370158482686	0.060256867011686	0.00737297450562798	0.970208301273179	0.0257035984570592	0.00408810026976205
41__Main Tower	540.648083623693	-177.149603216639	1503.5552072349	3427.21248945211	0.895719527032426	0.0944657873006367	0.00981468566693732	0.953412960651897	0.0410408711716323	0.00554616817647042
40__Main Tower	541.267595818815	-176.807068225479	1488.10495108277	3409.51963754534	0.861809853345264	0.126699458392595	0.0114906882621412	0.937359690279063	0.0560268574387423	0.00661345228219445
39__Main Tower	541.887108013937	-176.495055016948	1475.27205904922	3394.0693813932	0.831765437414149	0.155706100053314	0.0125284625325365	0.922681792888928	0.0699844961631134	0.00733371094795865
38__Main Tower	542.506620209059	-176.221462017823	1465.04701015522	3381.23648935966	0.80615398326861	0.180767650306549	0.0130783664248407	0.909804100227497	0.0824251731504546	0.00777072662204876
37__Main Tower	543.126132404181	-175.98915632903	1457.15380684393	3371.01144046566	0.785025793934248	0.201687529850225	0.0132866762155262	0.898910030056769	0.0930946855039363	0.00799528443929512
36__Main Tower	543.745644599303	-175.796876446891	1451.18296664337	3363.11823715437	0.768056977740776	0.218665657045748	0.0132773652134768	0.889973419130456	0.101952971023182	0.00807360984636235
35__Main Tower	544.365156794425	-175.640691526439	1446.70516880652	3357.14739695381	0.75471690031983	0.232138404261988	0.0131446954181813	0.882825019406818	0.109114667259764	0.00806031333341745
34__Main Tower	544.984668989547	-175.515405951009	1443.33710865017	3352.66959911696	0.744405872123605	0.242640079929075	0.0129540479473201	0.877221946896065	0.114781955755975	0.00799609734795963
33__Main Tower	545.604181184669	-175.415597870389	1440.76931259484	3349.30153896061	0.736544861952118	0.250708100418565	0.0127470376293164	0.872901737118204	0.119189499968788	0.00790876291300862
32__Main Tower	546.223693379791	-175.336239498502	1438.76874712175	3346.73374290528	0.730621886811663	0.256830337808413	0.0125477753799244	0.869616160227265	0.122568065845551	0.00781577392718352
31__Main Tower	546.843205574913	-175.272984130001	1437.16871254975	3344.73317743218	0.726208232412354	0.261423242950742	0.0123685246369037	0.867147929358214	0.125124960771517	0.00772710987026906
30__Main Tower	547.462717770035	-175.222237737129	1435.85449434008	3343.13314286019	0.722957271182333	0.264828630648984	0.0122140981686826	0.865315899534418	0.127036355304916	0.0076477451606664
29__Main Tower	548.082229965157	-175.181114008378	1434.74940252322	3341.81892465052	0.720595071903796	0.267319962555132	0.0120849655410728	0.863973789275023	0.128446673351127	0.00757953737384991
28__Main Tower	548.701742160279	-175.147339142128	1433.80316100137	3340.71383283366	0.718908346080867	0.269112353484252	0.0119793004348807	0.863005933910831	0.12947152089874	0.00752254519042871
27__Main Tower	549.321254355401	-175.119144488587	1432.98309287875	3339.76759131181	0.717732609062351	0.270373140006045	0.0118942509316044	0.862322150478773	0.130201960306276	0.00747588921495096
26__Main Tower	549.940766550523	-175.095165872993	1432.26783217563	3338.94752318919	0.716941793635237	0.271231525358471	0.0118266810062923	0.86185278036469	0.130708937361877	0.00743828227343268
25__Main Tower	550.560278745645	-175.0743570638	1431.64304649348	3338.23226248607	0.716439665754165	0.271786762675766	0.0117735715700692	0.861544360841593	0.131047302497461	0.00740833666094613
24__Main Tower	551.179790940767	-175.055918896547	1431.09864487353	3337.60747680392	0.716152969633479	0.272114817759331	0.0117322126071905	0.861356045624731	0.131259225725122	0.00738472865014636
23__Main Tower	551.799303135889	-175.039242841427	1430.62702113335	3337.06307518397	0.716026064094777	0.272273662605556	0.0117002732996663	0.861256737427559	0.131376986689754	0.00736627588268673
22__Main Tower	552.418815331011	-175.023866828877	1430.221993606	3336.59145144379	0.716016775686056	0.272307419207166	0.0116758051067782	0.861222834532115	0.131425201291166	0.00735196417671893
21__Main Tower	553.038327526133	-175.009441015487	1429.87822936302	3336.18642391644	0.716093213784649	0.272249574950031	0.0116572112653202	0.861236480113233	0.131422573119699	0.00734094676706785
20__Main Tower	553.657839721255	-174.995701359608	1429.59124403882	3335.84265967346	0.716231328026507	0.272125469596756	0.0116432023767371	0.861284209736921	0.131383260289385	0.0073325299736933
19__Main Tower	554.277351916376	-174.9824490273	1429.35621192201	3335.55567434926	0.71641310506059	0.271954147921117	0.0116327470182926	0.861355896322074	0.131317949884574	0.00732615379335153
18__Main Tower	554.896864111498	-174.969536343562	1429.16934180478	3335.32064223245	0.716624974725413	0.27174999369339	0.0116250315811979	0.861444023701379	0.131234607375548	0.00732136892307388
17__Main Tower	555.51637630662	-174.956852095869	1429.02626188025	3335.13377211521	0.716856850227076	0.271523734086743	0.0116194156861803	0.861542940145735	0.131139238715086	0.00731782113917884
16__Main Tower	556.135888501742	-174.944314833822	1428.92291218708	3334.99069219069	0.717101307605551	0.271283294240404	0.0116153981540457	0.861648514963004	0.131036255070509	0.00731522996648704
15__Main Tower	556.755400696864	-174.931865232901	1428.85553258625	3334.88734249752	0.717352936300236	0.27103447474732	0.0116125889524442	0.861757746515937	0.130928878326856	0.0073133751572069
14__Main Tower	557.374912891986	-174.919460655547	1428.82063748897	3334.8199628967	0.717607843130341	0.270781470771713	0.0116106860979455	0.86186848351217	0.130819431898597	0.00731208458923305
13__Main Tower	557.994425087108	-174.907071007451	1428.81502376922	3334.78506779941	0.717863275043903	0.270527268064346	0.0116094568917512	0.8619792129943	0.13070956271308	0.00731122429262088
12__Main Tower	558.61393728223	-174.894675561667	1428.83577663859	3334.77945407966	0.718117330317121	0.270273946787299	0.0116087228955809	0.862088898033773	0.130600411575255	0.00731069039097136
11__Main Tower	559.233449477352	-174.88226052692	1428.88026763399	3334.80020694903	0.718368737585753	0.270022914419398	0.011608347994849	0.862196853577063	0.130492743769818	0.00731040265311935
10__Main Tower	559.852961672474	-174.869817191989	1428.94614574646	3334.84469794443	0.718616687315644	0.269775083720654	0.0116082289637025	0.86230265180032	0.130387048835242	0.00731029936443784
9__Main Tower	560.472473867596	-174.857340516159	1429.0313236121	3334.9105760569	0.718860703848704	0.26953100811376	0.0116082880375364	0.862406050289849	0.130283616444284	0.00731033326586648
8__Main Tower	561.091986062718	-174.844828064523	1429.13396002788	3334.99575392254	0.719100548748963	0.26929098416384	0.0116084670871971	0.862506937854035	0.130182593796286	0.00731046834967909
7__Main Tower	561.71149825784	-174.832279209164	1429.25243999216	3335.09839033832	0.719336148331622	0.269055128605996	0.0116087230623827	0.862605293920066	0.130084028741291	0.00731067733864358
6__Main Tower	562.331010452962	-174.819694535494	433.571015923892	3335.2168703026	0.719567539804814	0.268823435757251	0.0116090244379352	0.862701158403165	0.129987901889905	0.00731093970692978
5__Main Tower	562.950522648084	-174.807092389404	433.569530825692	3335.32905980032	0.719796391715491	0.268594290774941	0.0116093175095674	0.862795499541096	0.129893287033341	0.00731121342556282
4__Main Tower	563.570034843206	-174.793254095225	1806.3522752413	3335.32757470212	0.719911917828164	0.268479716068846	0.0116083661029903	0.862825312481774	0.129863437909033	0.00731124960919275
3__Main Tower	564.189547038328	-174.345046801506	1786.207953208	3213.39370494802	0.680605091377747	0.306680982610016	0.0127139260122374	0.839764848905781	0.152022647995544	0.0082125030986755
2__Main Tower	564.80905923345	-173.937777525685	1769.18229617263	3193.24938291471	0.646113425864251	0.340560697534221	0.0133258766015282	0.818533870096679	0.172656632233878	0.0088094976694425
