Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	528.6	-178.37852134997	1758.24139678121	2.01621627732027E-05	0.996855087028684	0.000335645914953565	0.0028092670563621	0.998358106707847	0.00013812939418833	0.00150376389796447
42__Main Tower	528.6	-178.356619920657	1757.00688436866	3431.41995546391	0.993941559347048	0.000814646655853724	0.00524379399709784	0.996855087037516	0.000335645913793007	0.00280926704869129
41__Main Tower	529.219512195122	-178.319632664689	1756.11954475987	3481.5316960263	0.991071581844379	0.00139927739517991	0.00752914076044132	0.995384731848659	0.000577380780184836	0.00403788737115636
40__Main Tower	529.839024390244	-178.282514717933	1755.22568929631	3480.64435641751	0.988221160069859	0.00211083345945861	0.00966800647068247	0.99393708523919	0.00087228908660122	0.00519062567420929
39__Main Tower	530.458536585366	-178.245014503925	1754.31147768091	3479.75050095396	0.985362299505039	0.0029745517133934	0.0116631487815679	0.992500036181583	0.00123107068076305	0.00626889313765393
38__Main Tower	531.078048780488	-178.206837866543	1753.36086925264	3478.83628933856	0.98246256237004	0.00402020668784944	0.0135172309421107	0.991059491215708	0.00166639629859981	0.00727411248569255
37__Main Tower	531.69756097561	-178.167642978662	1752.35536184386	3477.88568091028	0.979484590385994	0.00528273945792263	0.0152326701560837	0.989599158619658	0.00219320112759242	0.00820764025274973
36__Main Tower	532.317073170732	-178.127035045344	1751.27365555225	3476.8801735015	0.976385618217152	0.00680289206491568	0.0168114897179319	0.988100317988629	0.00282899209282675	0.00907068991854394
35__Main Tower	532.936585365854	-178.084561142628	1750.0912805109	3475.79846720989	0.97311701808696	0.00862780362514837	0.0182551782878917	0.98654158876916	0.0035941541136323	0.0098642571172077
34__Main Tower	533.556097560976	-178.039705722237	1748.78021308473	3474.61609216854	0.969623936782215	0.0108115019140553	0.0195645613037302	0.984898719378757	0.00451223190783489	0.0105890487134081
33__Main Tower	534.175609756098	-177.991887559859	1747.30851030859	3473.30502474238	0.965845112730625	0.0134151954114922	0.0207396918578828	0.983144429208374	0.0056101523437896	0.0112454184478361
32__Main Tower	534.79512195122	-177.940459233515	1745.64000345514	3471.83332196623	0.961712993016015	0.0165072355667801	0.0217797714172048	0.981248349337139	0.0069183375429374	0.0118333131199232
31__Main Tower	535.414634146342	-177.884710581415	1743.73412222159	3470.16481511278	0.9571543066393	0.0201625789091896	0.0226831144515106	0.979177124063993	0.00847064102778084	0.0123522349082263
30__Main Tower	536.034146341464	-177.823877976649	1741.54595944954	3468.25893387924	0.952091287027045	0.0244615377943437	0.0234471751786108	0.976894753405149	0.0103040191696975	0.0128012274251539
29__Main Tower	536.653658536585	-177.757161605032	1739.0267479986	3466.07077110719	0.946443765916105	0.029487575386772	0.0240686586971228	0.97436327421241	0.0124578304551166	0.0131788953324738
28__Main Tower	537.273170731707	-177.683753128609	1736.12499048787	3463.55155965625	0.940132368951715	0.0353238892133496	0.0245437418349351	0.971543890046052	0.0149726404074653	0.0134834695464831
27__Main Tower	537.892682926829	-177.602875978638	1732.78855403106	3460.64980214551	0.933083010821879	0.0420485597079472	0.0248684294701734	0.968398660062277	0.0178884082666695	0.0137129316710536
26__Main Tower	538.512195121951	-177.51383980193	1728.9680617034	3457.3133656887	0.925232788743207	0.049728143742579	0.0250390675142144	0.96489283426217	0.0212419543476992	0.0138652113901308
25__Main Tower	539.131707317073	-177.41610899933	1724.62183639326	3453.49287336105	0.916537180823469	0.0584097981689274	0.0250530210076032	0.960997863414347	0.0250636689221547	0.0139384676634984
24__Main Tower	539.751219512195	-177.309382621025	1719.48149203789	3449.14664805091	0.90697815335159	0.0681123449722899	0.02490950167612	0.956695004260844	0.029373538855744	0.0139314568834116
23__Main Tower	540.370731707317	-177.194349309734	1713.06201964238	3444.00630369554	0.896597067710973	0.0787967663752341	0.0246061659137927	0.951982427004138	0.0341743701621821	0.0138432028336796
