Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	528.6	-178.15030287589	1548.35246246692	4.77299009600989E-05	0.971699608502997	0.0242524619122289	0.00404792958477398	0.987710451886511	0.0100962110131495	0.00219333710033958
42__Main Tower	528.6	-177.818645559643	1529.83063240638	3397.5531502691	0.935387575527917	0.0572728649577331	0.0073395595143499	0.971699608727922	0.0242524617133574	0.00404792955872008
41__Main Tower	529.219512195122	-177.470528413579	1512.42286244234	3435.77938281854	0.899806379925984	0.0903784193684079	0.0098152007056078	0.95553114906376	0.0389552753812982	0.00551357555494156
40__Main Tower	529.839024390244	-177.135687623934	1496.53272654938	3418.37161285451	0.866443242982158	0.122017249845127	0.011539507172715	0.939891199677922	0.0535092018156881	0.00659959850638978
39__Main Tower	530.458536585366	-176.826759337921	1482.64237578966	3402.48147696155	0.836469685138594	0.150904479253451	0.0126258356079544	0.925404104480655	0.0672529028990331	0.00734299262031224
38__Main Tower	531.078048780488	-176.552538870343	1470.96304694953	3388.59112620183	0.810583256650234	0.176202931804426	0.0132138115453394	0.91253117932086	0.0796677186395457	0.0078011020395947
37__Main Tower	531.69756097561	-176.317220618402	1461.46080983066	3376.91179736169	0.788990645185227	0.197564650849104	0.0134447039656686	0.901518267301568	0.0904411985163958	0.00804053418203608
36__Main Tower	532.317073170732	-176.120837729989	1453.93553774219	3367.40956024282	0.771502830390105	0.215054494301736	0.0134426753081584	0.89240364407107	0.0994702121677049	0.00812614376122538
35__Main Tower	532.936585365854	-175.960425090414	1448.10315360895	3359.88428815436	0.75767895604308	0.229015734348002	0.0133053096089179	0.885067693681087	0.1068189526261	0.00811335369281235
34__Main Tower	533.556097560976	-175.831343544193	1443.66247542299	3354.05190402111	0.74696338578284	0.239934299682033	0.0131023145351274	0.87929675074873	0.112658470034846	0.00804477921642384
33__Main Tower	534.175609756098	-175.728381225926	1440.3354363	3349.61122583515	0.738786798249773	0.248333966974815	0.0128792347754119	0.874839636118727	0.117210048371815	0.00795031550945775
32__Main Tower	534.79512195122	-175.646491039411	1437.88417996844	3346.28418671217	0.732626527809413	0.254710366852345	0.0126631053382425	0.871447342203825	0.120703484498937	0.00784917329723816
31__Main Tower	535.414634146342	-175.581189748409	1436.11343784455	3343.83293038061	0.728034289480129	0.259497673956892	0.012468036562978	0.868895608732131	0.123351843332994	0.0077525479348756
30__Main Tower	536.034146341464	-175.528711770441	1434.86574091689	3342.06218825672	0.724642642726795	0.263057558192536	0.012299799080669	0.866994483793457	0.125339392821553	0.00766612338499078
29__Main Tower	536.653658536585	-175.4860139459	1434.01452924748	3340.81449132906	0.722159814923556	0.265680994130485	0.0121591909459584	0.865589683396332	0.126818243882869	0.0075920727207996
28__Main Tower	537.273170731707	-175.450704331646	1433.45788407294	3339.96327965964	0.720359412285193	0.26759626596857	0.0120443217462365	0.864559601599137	0.127909895632336	0.0075305027685275
27__Main Tower	537.892682926829	-175.42094151152	1433.11395282041	3339.40663448511	0.719068816841515	0.268979118822785	0.0119520643357003	0.86381050588359	0.12870907111211	0.00748042300429935
26__Main Tower	538.512195121951	-175.395330200605	1432.91809988339	3339.06270323258	0.71815818078993	0.269962897891015	0.0118789213190552	0.863271362661829	0.129288280981788	0.00744035635638293
25__Main Tower	539.131707317073	-175.372825526282	1432.82123054625	3338.86685029556	0.717530809249148	0.270647685528606	0.0118215052222457	0.862889010071613	0.12970228849819	0.00740870143019735
