Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	542.885714285714	-178.055628536118	2203.94274650978	2.45240091389614E-08	0.999993212358858	1.03724691984277E-08	6.77726867261356E-06	0.999996353272029	4.2952824668987E-09	3.64243268866347E-06
42__Main Tower	542.885714285714	-178.055586023959	2203.85376114413	3436.63064323913	0.999987364890912	2.50479102032778E-08	1.26100611776129E-05	0.999993212358858	1.03724691983843E-08	6.7772686725912E-06
41__Main Tower	543.505226480836	-178.040677329494	2204.18667582985	3474.3702263325	0.999980462468262	4.7512062990636E-08	1.94900196748872E-05	0.999989503207735	1.96813579316176E-08	1.04771109066427E-05
40__Main Tower	544.124738675958	-178.025774527408	2204.52491222989	3474.70314101822	0.999972314799776	8.18878220551326E-08	2.76033124017745E-05	0.999985124433695	3.39320639206344E-08	1.48416342414274E-05
39__Main Tower	544.74425087108	-178.010871982387	2204.86283947226	3475.04137741826	0.999962696575964	1.34475485956762E-07	3.71689485504353E-05	0.999979955195965	5.57409583346625E-08	1.99890630766721E-05
38__Main Tower	545.363763066202	-177.995969111399	2205.19921822929	3475.37930466063	0.999951340541383	2.14900230212703E-07	4.84445583869343E-05	0.999973852424352	8.91063586331016E-08	2.6058469289135E-05
37__Main Tower	545.983275261324	-177.981063553899	2205.5341539218	3475.71568341765	0.999937929005192	3.37862620890844E-07	6.17331321871587E-05	0.999966646405952	1.40136955070076E-07	3.32134570933321E-05
36__Main Tower	546.602787456446	-177.966152490504	2205.86771419444	3476.05061911017	0.999922083245079	5.25808690296212E-07	7.73909462305537E-05	0.999958135388464	2.1816308958226E-07	4.16464484461073E-05
35__Main Tower	547.222299651568	-177.951232537815	2206.19987335788	3476.38417938281	0.999903350142942	8.13001313069138E-07	9.58368557450379E-05	0.999948078850153	3.37431867750776E-07	5.15837179797133E-05
34__Main Tower	547.84181184669	-177.936299611874	2206.5304284342	3476.71633854625	0.999881185083553	1.25172647760398E-06	0.000117563189969494	0.999936189009793	5.19692034349153E-07	6.32912981728079E-05
33__Main Tower	548.461324041812	-177.921348748024	2206.85898214385	3477.04689362257	0.999854929730185	1.92175101487642E-06	0.000143148518800059	0.999922119963691	7.98134462581192E-07	7.70819018462326E-05
32__Main Tower	549.080836236934	-177.906373859191	2207.18498527828	3477.37544733222	0.999823782664382	2.94473065953028E-06	0.000173272604958803	0.999905453568994	1.22339734261049E-06	9.33230336634909E-05
31__Main Tower	549.700348432056	-177.891367406122	2207.50778197072	3477.70145046665	0.999786759941247	4.50615234308212E-06	0.000208733906409946	0.999885680794394	1.87271500531797E-06	0.000112446490600892
