T	P	x_Ar	x_O2	x_N2	y_Ar	y_O2	y_N2	phil_Ar	phil_O2	phil_N2	phiv_Ar	phiv_O2	phiv_N2	status
-173.8217102	563.4	0.19378788	0.199399568	0.606812552	0.102381677	0.129285689	0.768332634	0.459608884	0.567739778	1.118278871	0.86994474	0.875637064	0.883192572	1
-173.8217102	563.4	0.223384014	0.164089148	0.612526838	0.117203082	0.107261166	0.775535752	0.456351131	0.57246803	1.118236099	0.869784697	0.875767916	0.883195492	1
-173.8217102	563.4	0.252499585	0.129259292	0.618241124	0.131631129	0.085209783	0.783159088	0.453348701	0.577405717	1.118801916	0.869627799	0.875900117	0.883204497	1
-173.8217102	563.4	0.281142179	0.094902411	0.62395541	0.145695875	0.06310887	0.791195255	0.450587704	0.582548301	1.119949143	0.869473778	0.876033778	0.88321939	1
-173.8217102	563.4	0.309310576	0.061019729	0.629669695	0.159421085	0.040942955	0.79963596	0.448056034	0.58789008	1.121651885	0.869322436	0.876168974	0.883239997	1
-173.8217102	563.4	0.337015468	0.027600551	0.635383981	0.172832612	0.018690912	0.808476476	0.445741312	0.593427387	1.123886561	0.869173546	0.876305821	0.883266174	1
-173.8217102	563.5714286	0.191522407	0.201665041	0.606812552	0.101214508	0.130654473	0.768131019	0.459727754	0.567274313	1.11794168	0.869914482	0.87558915	0.883158	1
-173.8217102	563.5714286	0.221152072	0.16632109	0.612526838	0.11606115	0.108635432	0.775303418	0.456453037	0.571986193	1.11785612	0.869754194	0.875719922	0.88316049	1
-173.8217102	563.5714286	0.250293307	0.131465569	0.618241124	0.130510498	0.086594036	0.782895466	0.45343526	0.576906634	1.118380484	0.869597088	0.875852017	0.883169076	1
-173.8217102	563.5714286	0.278965955	0.097078636	0.62395541	0.144596162	0.064502454	0.790901384	0.450659171	0.582032806	1.119487772	0.869442861	0.875985576	0.883183562	1
-173.8217102	563.5714286	0.307164962	0.063165343	0.629669695	0.158341026	0.042346629	0.799312346	0.44811304	0.587358489	1.121151966	0.869291321	0.876120665	0.883203772	1
-173.8217102	563.5714286	0.334901106	0.029714913	0.635383981	0.171771095	0.020105296	0.808123609	0.445784447	0.592880043	1.123349444	0.869142241	0.876257401	0.883229561	1
-173.8217102	563.7428571	0.189255303	0.203932145	0.606812552	0.100046017	0.132022393	0.76793159	0.459847746	0.5668103	1.11760773	0.86988424	0.875541241	0.883123458	1
-173.8217102	563.7428571	0.218914163	0.168558998	0.612526838	0.114916795	0.110010559	0.775072646	0.456556484	0.571505202	1.117479213	0.869723718	0.875671924	0.883125517	1
-173.8217102	563.7428571	0.248085241	0.133673635	0.618241124	0.129388716	0.08797732	0.782633964	0.453522872	0.57640898	1.117962148	0.869566392	0.875803924	0.883133685	1
-173.8217102	563.7428571	0.276787846	0.099256745	0.62395541	0.143495362	0.06589504	0.790609598	0.450731662	0.581518723	1.119029425	0.869411957	0.875937381	0.883147763	1
-173.8217102	563.7428571	0.305017377	0.065312928	0.629669695	0.157259939	0.043749277	0.798990784	0.448171042	0.586828292	1.120655001	0.869260219	0.876072363	0.883167575	1
-173.8217102	563.7428571	0.332784671	0.031831348	0.635383981	0.170708596	0.021518646	0.807772758	0.445828548	0.592334069	1.122815206	0.86911095	0.876208987	0.883192974	1
-173.8217102	563.9142857	0.186986574	0.206200874	0.606812552	0.098876198	0.133389453	0.767734349	0.459968861	0.566347737	1.11727702	0.869854013	0.875493338	0.883088945	1
-173.8217102	563.9142857	0.216674562	0.1707986	0.612526838	0.113771208	0.111384761	0.774844031	0.456661019	0.571025653	1.117105475	0.869693258	0.875623931	0.883090572	1
