Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10921.0235078815	25.6498546990911	28.0143362289735	-6096.86042092071	0.787800692231539	28.013716172608
42__Main Tower	-10920.9301079796	25.6504395086055	28.0154935773529	-6096.90092830464	0.787913455089944	28.0143362289724
41__Main Tower	-10920.0100718528	25.648508058063	28.0167516130395	-6096.65939834118	0.788801588193771	28.0150106237663
40__Main Tower	-10918.8863078045	25.6459979830709	28.0181187941704	-6096.4092291723	0.78968905635091	28.0157437499114
39__Main Tower	-10917.7624441729	25.6437829193059	28.0196043359007	-6096.1509332804	0.79057589014557	28.0165405503117
38__Main Tower	-10916.6974486447	25.641678271829	28.0212182989302	-6095.88253588025	0.791461924153393	28.0174064089781
37__Main Tower	-10915.6223063092	25.6396667713599	28.0229716927893	-6095.6152476815	0.792348018867781	28.0183471997999
36__Main Tower	-10914.536343209	25.637437088994	28.0248766061306	-6095.31795978727	0.793231720450068	28.0193693469543
35__Main Tower	-10913.4389149803	25.6355216059235	28.0269463753446	-6095.00742233504	0.794114302487551	28.0204799018744
34__Main Tower	-10912.329442105	25.6337035126766	28.0291958049684	-6094.68168682077	0.794995568110135	28.0216866424069
33__Main Tower	-10911.2074607568	25.6319942321097	28.031641458064	-6094.33779528656	0.795875221920128	28.0229982016916
32__Main Tower	-10910.0726956662	25.6304075942169	28.034302041986	-6093.97581165075	0.796753184613201	28.024424237321
31__Main Tower	-10908.9251638983	25.628960635965	28.0371989251653	-6093.59312597213	0.797629131077435	28.0259756556342
30__Main Tower	-10907.7653219448	25.6276747078845	28.0403568345891	-6093.18725589431	0.79850269861361	28.027664911921
29__Main Tower	-10906.594273354	25.6265770074769	28.0438048028763	-6092.75546545233	0.799373438016731	28.0295064154153
28__Main Tower	-10905.4140608384	25.6257027058098	28.0475774600579	-6092.30117805811	0.800241332640819	28.0315170790324
27__Main Tower	-10904.2280760644	25.6250978972987	28.0517168007975	-6091.80482093173	0.80110429451225	28.0337170688992
26__Main Tower	-10903.0416330581	25.6248236894959	28.0562746059339	-6091.27205204984	0.801962182094984	28.0361308292301
25__Main Tower	-10901.8627685402	25.6249618673281	28.0613157617245	-6090.69674345937	0.80281362095407	28.0387884857481
24__Main Tower	-10900.7033559867	25.6256227239047	28.0669228055045	-6090.07081626182	0.803656782444267	28.0417277677922
23__Main Tower	-10899.5806514573	25.6269558584853	28.0732021372651	-6089.38627270944	0.804489164819511	28.0449966379087
22__Main Tower	-10898.5194299153	25.6291650100291	28.080292476515	-6088.63000098562	0.805307415377133	28.0486568805015
21__Main Tower	-10897.5549216842	25.6325283311425	28.0883763125258	-6087.7861311211	0.806106920020943	28.0527889796022
20__Main Tower	-10896.7368188905	25.6374259017622	28.0976952841475	-6086.83429325637	0.806881597851098	28.0574987090315
19__Main Tower	-10896.1346852178	25.6443766953538	28.1085706030992	-6085.7449686218	0.807622197875064	28.0629259591393
18__Main Tower	-10895.8451531647	25.6540875477548	28.1214297320807	-6084.48209060781	0.808317353094161	28.0692564131516
17__Main Tower	-10896.0012964081	25.6675167064216	28.1368404014592	-6082.99819721074	0.808951829600951	28.0767367183421
16__Main Tower	-10896.7844507692	25.6859538076691	28.1555524198013	-6081.22255102545	0.809502114524289	28.0856936827143
15__Main Tower	-10898.438396607	25.7111158060502	28.1785461171704	-6079.07209626248	0.809940677434035	28.0965575987564
14__Main Tower	-10901.2849903393	25.7452530519933	28.2070828705515	-6076.4390454772	0.810231362502265	28.1098887626498
13__Main Tower	-10905.7387195229	25.7912492488279	28.2427468949969	-6073.1706195792	0.81032177528777	28.1264041679548
12__Main Tower	-10912.3148758686	25.8526809563341	28.2874571790975	-6069.0986177838	0.810154518886208	28.1469976051827
11__Main Tower	-10921.6218867135	25.9337743822069	28.3434138580238	-6064.02002608133	0.8096591813999	28.1727404386872
10__Main Tower	-10934.3182916488	26.0390735959099	28.412927513803	-6057.69743710971	0.808754822795976	28.2048422938863
9__Main Tower	-10951.0442041882	26.1732349148193	28.4980733165166	-6049.92384089721	0.80736765157204	28.244543007564
8__Main Tower	-10972.2613360701	26.339553432876	28.6001360208666	-6040.51437133836	0.805435360168329	28.2929059806607
7__Main Tower	-10998.057995083	26.5389177125366	28.7188940721946	-6029.42534173233	0.802939909960665	28.350500648163
6__Main Tower	-11027.9546835905	26.768305524579	28.8519379042996	-6016.79547127347	0.799927094266292	28.4170116369764
5__Main Tower	-11060.7979626494	27.0198648740303	28.9943469555139	-6002.98442134178	0.796514390648724	28.4908825249499
4__Main Tower	-11081.2076729532	27.1776161447356	29.0824332901689	-5994.22828377561	0.794661393135809	28.5381379798162
3__Main Tower	-11103.0065256105	27.3694017890474	29.2021368085591	-5982.03117288605	0.792222271699072	28.6062132861534
2__Main Tower	-11132.0923423714	27.6212725595682	29.3545486321247	-5966.17907481219	0.7887289999203	28.6962184189129
1__Main Tower	-11168.4041970633	27.9338286470425	29.5379705960842	-5946.49278147243	0.784125155667996	28.810304602234
