Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10900.2005535126	25.5818525593084	28.0133789538374	-6094.24841101926	0.808515477872098	28.0132042551243
42__Main Tower	-10900.1860043985	25.5820539047763	28.01370345725	-6094.21868282402	0.808513120140156	28.0133789538374
41__Main Tower	-10898.8380152109	25.5795477673578	28.0140697915716	-6094.07226561577	0.809409408232877	28.0135762799433
40__Main Tower	-10897.8193871715	25.5766337650993	28.0144833549843	-6093.92694644341	0.810307357200273	28.0137991048568
39__Main Tower	-10897.0649623623	25.5746316917101	28.0149502059093	-6093.92397110661	0.811328601514546	28.0140506964599
38__Main Tower	-10895.8362885575	25.5713136392206	28.0154771247713	-6093.75941099858	0.812223705890205	28.0143347085915
37__Main Tower	-10895.0147035527	25.5690031443181	28.0160717121635	-6093.58976221701	0.813118425568847	28.0146552316288
36__Main Tower	-10894.3837384888	25.5660493153643	28.0167425309913	-6093.41434305581	0.814012697844855	28.0150168655807
35__Main Tower	-10892.9468474922	25.5635845075927	28.017499296924	-6093.23081495877	0.814906322473833	28.0154248174825
34__Main Tower	-10891.9350901693	25.5612777825512	28.018353120057	-6093.03926775895	0.815799289841145	28.0158850238489
33__Main Tower	-10890.9429942442	25.558949605063	28.0193168014673	-6092.83880777384	0.816691504394347	28.0164042989808
32__Main Tower	-10889.9427401297	25.5563197673272	28.0204051884883	-6092.62776953914	0.817582797380622	28.0169905094495
31__Main Tower	-10888.9336104771	25.554050455139	28.0216355939703	-6092.40398999772	0.818472943303075	28.0176527750645
30__Main Tower	-10887.9149672018	25.5518739312124	28.023028293349	-6092.17843236421	0.819362798514695	28.0184017001324
29__Main Tower	-10886.8863475711	25.5498073757809	28.0246071345994	-6091.920994756	0.8202497427183	28.0192496486918
28__Main Tower	-10885.8476106853	25.5478726387795	28.0264003317597	-6091.64524098833	0.82113476130607	28.0202110943805
27__Main Tower	-10884.7991534736	25.546097923982	28.0284415619428	-6091.34785123047	0.822017366363979	28.0213030989707
26__Main Tower	-10883.7422236941	25.5445202204207	28.0307715408822	-6091.02391410473	0.822896832099375	28.0225459988031
25__Main Tower	-10882.6793712721	25.5431888244815	28.0334403121139	-6090.6707154023	0.823772492784324	28.0239644042633
24__Main Tower	-10881.6151009048	25.5421704309882	28.0365105516041	-6090.28203531838	0.824643174916079	28.0255886442575
23__Main Tower	-10880.5568204333	25.541556460074	28.0400622774039	-6089.85050160584	0.82550731304373	28.0274568222281
22__Main Tower	-10879.5162235381	25.5414735567481	28.0441994839835	-6089.37195474664	0.826363298341809	28.0296177031151
21__Main Tower	-10878.5113050557	25.5420985855646	28.0490594201197	-6088.82105189687	0.827206733989336	28.0321347354877
20__Main Tower	-10877.5692873868	25.5436799748752	28.0548255107392	-6088.19106603117	0.828034347664626	28.0350916369715
19__Main Tower	-10876.7308407986	25.5465679774936	28.0617453050746	-6087.45925146409	0.82884007804389	28.0386001459987
18__Main Tower	-10876.0561108061	25.5512573191066	28.0701553088555	-6086.59649532805	0.829615391663058	28.0428107722022
17__Main Tower	-10875.6332158208	25.5584467560015	28.0805150845958	-6085.56367727488	0.830348554225933	28.0479276564305
16__Main Tower	-10875.5900232809	25.5691211095792	28.0934534511247	-6084.30034709724	0.831021829292626	28.0542289485341
15__Main Tower	-10876.1100846168	25.5846619031489	28.10982966173	-6082.73585936263	0.831611923170461	28.0620943350335
14__Main Tower	-10877.453454766	25.6069917978211	28.1308114079458	-6080.76695895194	0.832085927256469	28.0720412863358
13__Main Tower	-10879.9824194948	25.6387534671848	28.1579680624139	-6078.25140819404	0.832396959474527	28.084770804067
12__Main Tower	-10884.1903075158	25.6835114371836	28.1933694204489	-6075.00865930054	0.832485244088987	28.101221100853
11__Main Tower	-10890.7275922754	25.7459391365328	28.2396638045097	-6070.78910340608	0.832266464941208	28.1226223151426
10__Main Tower	-10900.4122468797	25.8319049626649	28.3000808319499	-6065.30284498435	0.831642543300463	28.150534993274
9__Main Tower	-10914.2035519132	25.9482347812506	28.3782629620315	-6058.18157567717	0.830489923957646	28.1868376522928
8__Main Tower	-10933.0709234079	26.1022204697677	28.4777895001677	-6049.06770661851	0.828685777877133	28.2336050463856
7__Main Tower	-10957.8395689561	26.2999097311699	28.6012619256748	-6037.62486025726	0.826119100450322	28.2927989308993
6__Main Tower	-10988.7744021928	26.5437487110449	28.7489560154101	-6023.70907703961	0.822741831425549	28.3657063598322
5__Main Tower	-11025.2275994612	26.8297707957885	28.9174045797984	-6007.4899117928	0.818612917073673	28.452164247646
4__Main Tower	-11051.1296256555	27.0340386960544	29.0353483795796	-5995.82696055028	0.815872900576437	28.5150965521222
3__Main Tower	-11071.6462281122	27.214318661252	29.1485373345214	-5984.32177485825	0.813538030987861	28.578865070814
2__Main Tower	-11100.9957417444	27.4677750566605	29.302665404072	-5968.35208402588	0.809891222638231	28.6688573269448
1__Main Tower	-11140.2044158305	27.8041646269199	29.5009458460567	-5947.14925201986	0.804709318848435	28.7909545703908
