Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10910.146673583	25.6436424893287	28.0511215603102	-6092.5468006558	0.795890207426448	28.0331724401407
42__Main Tower	-10908.4309141563	25.6644504111203	28.0852727219326	-6089.44215839971	0.795576741647829	28.0511215601048
41__Main Tower	-10906.1324889788	25.6825838937666	28.1181123900155	-6086.34083412208	0.79615466078617	28.0683247214909
40__Main Tower	-10904.2093366537	25.7012291164593	28.149815931444	-6083.34275768763	0.796721794467518	28.0848560341615
39__Main Tower	-10902.6952346155	25.7206722051846	28.1805791271278	-6080.43275353694	0.79727420442498	28.1008038573283
38__Main Tower	-10901.629626355	25.7412380925943	28.2106179822513	-6077.58862058714	0.797805388151568	28.1162663575795
37__Main Tower	-10901.0581157275	25.7632921263164	28.2401681933301	-6074.79178658384	0.79831021940228	28.131351332177
36__Main Tower	-10901.032696139	25.7872404002886	28.2694839981872	-6072.02330124905	0.79878341322716	28.1461758454297
35__Main Tower	-10901.6116121979	25.8135280369988	28.2988360338816	-6069.24892923973	0.799213910289963	28.1608655330351
34__Main Tower	-10902.8586995473	25.8426344356239	28.3285077222697	-6066.44948714126	0.799596200115126	28.1755533793421
33__Main Tower	-10904.8420150213	25.8750643090261	28.3587896108964	-6063.59793735083	0.79992172363004	28.1903777231791
32__Main Tower	-10907.6315367873	25.9113330541699	28.3899710467195	-6060.66747822599	0.800181881501318	28.2054792085647
31__Main Tower	-10911.2957434892	25.9519453427972	28.4223285955771	-6057.63813773171	0.800369231071765	28.2209963830271
30__Main Tower	-10915.8968828508	25.9973655041624	28.4561108041202	-6054.46825403927	0.800473083563279	28.2370596832166
29__Main Tower	-10921.4848948121	26.0479794953099	28.4915193036396	-6051.15319959394	0.800488982931105	28.2537836663348
28__Main Tower	-10928.0926752504	26.1039726336064	28.5286869381909	-6047.67203291715	0.800411244947156	28.2712575806497
27__Main Tower	-10935.7049828905	26.1654247886479	28.5675152790325	-6044.02342239611	0.800239537539505	28.2895153092196
26__Main Tower	-10944.273622102	26.2320181590276	28.6078897481796	-6040.242573107	0.79998275323377	28.3084479435613
25__Main Tower	-10953.7370413092	26.303399629472	28.6496247564377	-6036.30691189968	0.799639640930058	28.3280544442849
24__Main Tower	-10963.9580985151	26.3788354303845	28.6924085805246	-6032.25844545563	0.799225141156343	28.3482342195316
23__Main Tower	-10974.782553429	26.4573907547633	28.7357947287283	-6028.13886601342	0.798755296600636	28.3688194267693
22__Main Tower	-10985.9947871336	26.5378071149802	28.7792328810161	-6023.99004318512	0.798248487389169	28.3895852235236
21__Main Tower	-10997.376629446	26.6187324555525	28.8221100920385	-6019.87025416859	0.797728411485665	28.4102650584758
20__Main Tower	-11008.6880814688	26.6987044781997	28.8637993410183	-6015.83725135456	0.797218866605986	28.4305706769887
19__Main Tower	-11019.7043730459	26.7763248934274	28.9037094474202	-6011.95571624982	0.796745471781503	28.4502148192548
18__Main Tower	-11030.216010572	26.8503093149283	28.9413292711758	-6008.25530826221	0.796324648616193	28.4689335598437
17__Main Tower	-11040.0652432589	26.9196476889681	28.9762601645297	-6004.79775531458	0.795978430910265	28.486505121139
16__Main Tower	-11049.1167011649	26.9835331380764	29.0082332941615	-6001.59581368359	0.795717546083179	28.5027627566935
15__Main Tower	-11057.2993690812	27.0415097485972	29.0371116466039	-5998.67773663704	0.795552304619162	28.5176006089878
14__Main Tower	-11064.5751621229	27.0933635166604	29.0628791992654	-5996.05027488637	0.795488064915137	28.5309728221148
13__Main Tower	-11070.9459950829	27.139128944833	29.085621249668	-5993.70138763574	0.795522324320259	28.5428872312316
12__Main Tower	-11076.4458435463	27.1790393261193	29.1055001878519	-5991.62269146367	0.795653396708402	28.553395474444
11__Main Tower	-11081.1216833375	27.2134377659376	29.1227304300939	-5989.79666335585	0.79587597384249	28.5625814227233
10__Main Tower	-11085.044117935	27.242792497793	29.1375608788234	-5988.20162518964	0.79618295051476	28.5705504429703
9__Main Tower	-11088.2864992594	27.2675893443798	29.1502388394753	-5986.81395682889	0.796566289314134	28.5774210473698
8__Main Tower	-11090.9190991122	27.2883070678744	29.1610074598183	-5985.6123026448	0.797018363119471	28.583301198897
7__Main Tower	-11093.0154059997	27.3054298865151	29.1700998441789	-5984.57472523835	0.797531309466697	28.5883041591592
6__Main Tower	-11094.6406944838	27.3193993186105	29.1777305166991	-5983.68080749641	0.798097704815081	28.5925364425846
5__Main Tower	-11095.8600089016	27.3306293406405	29.1840858346034	-5982.91270653517	0.798710925244521	28.5960916086366
4__Main Tower	-11095.7060069543	27.3326760566259	29.1862548438594	-5982.55984888994	0.799482512395728	28.5973963114802
3__Main Tower	-11121.5628010092	27.5622946935338	29.3285522250842	-5967.75038523334	0.79632916627855	28.681413736899
2__Main Tower	-11148.6774994694	27.8014886941067	29.472816593056	-5952.32702401199	0.792962943067964	28.7702949265532
1__Main Tower	-11175.5746031364	28.0376297557039	29.6115473586898	-5937.0657478145	0.789596860201176	28.8597555855482
