Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10900.2005535963	25.5818525581606	28.0133789519781	-6094.24841118959	0.808515477885595	28.0132042541233
42__Main Tower	-10900.1860045535	25.5820539026369	28.0137034537964	-6094.2186831404	0.808513120165241	28.0133789519781
41__Main Tower	-10898.8380154485	25.5795477640573	28.0140697862624	-6094.07226610226	0.809409408271523	28.0135762770844
40__Main Tower	-10897.8193875057	25.5766337604241	28.0144833474939	-6093.9269471299	0.810307357254915	28.0137991008228
39__Main Tower	-10897.064962808	25.5746316854224	28.0149501958837	-6093.9239720258	0.811328601587882	28.0140506910597
38__Main Tower	-10895.8362896196	25.5713136327016	28.01547711188	-6093.75941227674	0.812223705992442	28.0143347016467
37__Main Tower	-10895.0147042574	25.5690031341461	28.0160716961594	-6093.58976376208	0.813118425692762	28.014655223006
36__Main Tower	-10894.3837393302	25.5660493030305	28.0167425117636	-6093.4143448818	0.81401269799174	28.0150168552202
35__Main Tower	-10892.9468497388	25.5635844972577	28.0174992745311	-6093.23081710159	0.814906322646813	28.0154248054157
34__Main Tower	-10891.9350922325	25.561277769079	28.0183530947235	-6093.03927014234	0.815799290034313	28.0158850101972
33__Main Tower	-10890.9429965078	25.5589495898907	28.019316773536	-6092.83881037611	0.816691504606252	28.0164042839298
32__Main Tower	-10889.9427425589	25.5563197523984	28.0204051583247	-6092.62777233333	0.817582797609443	28.0169904931973
31__Main Tower	-10888.9336130445	25.5540504391573	28.0216355618331	-6092.40399297587	0.818472943548641	28.0176527577522
30__Main Tower	-10887.9149698978	25.5518739141561	28.0230282592569	-6092.17843558498	0.819362798782512	28.0184016817728
29__Main Tower	-10886.8863504093	25.5498073574529	28.0246070982402	-6091.92099815495	0.820249743003774	28.0192496291201
28__Main Tower	-10885.8476137009	25.5478726187948	28.026400292484	-6091.64524463531	0.821134761616121	28.0202110732522
27__Main Tower	-10884.799156712	25.5460979018088	28.0284415188695	-6091.34785521267	0.822017366707564	28.0213030758191
26__Main Tower	-10883.7422271906	25.5445201954704	28.0307714931064	-6091.02391851757	0.822896832487045	28.0225459731525
25__Main Tower	-10882.6793750285	25.5431887962282	28.0334402589673	-6090.67072029236	0.823772493223396	28.023964375771
24__Main Tower	-10881.6151048693	25.5421703990839	28.0365104928924	-6090.28204070933	0.824643175413191	28.0255886128417
23__Main Tower	-10880.5568244927	25.5415564244198	28.0400622135369	-6089.85050746245	0.825507313601555	28.0274567881376
22__Main Tower	-10879.5162275248	25.5414735174893	28.0441994159326	-6089.37196102577	0.826363298964007	28.0296176669052
21__Main Tower	-10878.5113087713	25.5420985429838	28.0490593491749	-6088.82105840746	0.827206734665129	28.0321346978871
20__Main Tower	-10877.5692906344	25.5436799291687	28.054825438076	-6088.19107267905	0.828034348393491	28.0350915986496
19__Main Tower	-10876.7308434099	25.5465679284189	28.061745231186	-6087.45925820816	0.8288400788318	28.0386001072645
18__Main Tower	-10876.0561126429	25.5512572655062	28.0701552329458	-6086.59650224381	0.829615392529658	28.0428107326918
17__Main Tower	-10875.6332167315	25.558446695227	28.0805150040672	-6085.56368460705	0.830348555217349	28.0479276148571
16__Main Tower	-10875.5900230003	25.5691210368957	28.09345336131	-6084.30035525141	0.831021830486311	28.0542289025805
15__Main Tower	-10876.11008262	25.5846618112913	28.1098295560352	-6082.73586893978	0.831611924688927	28.0620942814636
14__Main Tower	-10877.4534501279	25.606991677015	28.1308112785686	-6080.76697066221	0.832085929268321	28.0720412213887
13__Main Tower	-10879.9824108482	25.6387533061057	28.157967901792	-6078.25142271544	0.832396962171642	28.0847707241774
12__Main Tower	-10884.1902932324	25.6835112254129	28.1933692235455	-6075.00867711445	0.832485247658827	28.1012210037131
11__Main Tower	-10890.727570989	25.7459388689374	28.23966357189	-6070.7891244718	0.832266469469459	28.1226222010696
10__Main Tower	-10900.4122183664	25.8319046454801	28.3000805732083	-6065.30286851348	0.831642548693988	28.1505348667129
9__Main Tower	-10914.2035180736	25.9482344381104	28.3782626984029	-6058.18159978702	0.830489929808456	28.1868375230371
8__Main Tower	-10933.0708892088	26.1022201454484	28.4777892642603	-6049.0677283973	0.828685783429122	28.2336049297397
7__Main Tower	-10957.839541517	26.2999094847296	28.6012617559452	-6037.62487610676	0.82611910467626	28.2927988457588
6__Main Tower	-10988.7743889868	26.5437486002965	28.7489559447131	-6023.70908367942	0.822741833312292	28.365706324034
5__Main Tower	-11025.2276030971	26.8297708350806	28.91740460924	-6007.48990875062	0.818612916359635	28.4521642647279
4__Main Tower	-11051.1296450845	27.0340388719919	29.0353484945763	-5995.82694895145	0.815872897486345	28.5150966170504
3__Main Tower	-11071.6462671471	27.2143190052941	29.1485375511475	-5984.32175267418	0.813538024924306	28.5788651960707
2__Main Tower	-11100.9957901472	27.4677754824323	29.3026656659164	-5968.35205645046	0.809891215063058	28.6688574851873
1__Main Tower	-11140.204453599	27.8041649621858	29.5009460478288	-5947.14922991202	0.804709312798353	28.7909547003745
