Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10898.2201065737	25.5907817366337	28.031445292894	-6092.7305702614	0.808507817574203	28.0229230294855
42__Main Tower	-10896.9513757695	25.5986568274635	28.0472892627391	-6091.27563662074	0.808389676948755	28.0314452928928
41__Main Tower	-10894.7972617267	25.6035470183299	28.0628768060644	-6089.73476323727	0.809171481296277	28.0398355175366
40__Main Tower	-10892.6821605641	25.6083761551141	28.0782055352018	-6088.21360066596	0.809953595011494	28.0480888150682
39__Main Tower	-10890.6102133404	25.6131606654205	28.0932765763334	-6086.71703579946	0.810736013246917	28.0562039590293
38__Main Tower	-10888.5863026337	25.6179230678384	28.1080951431452	-6085.2437592572	0.8115185143035	28.0641815678227
37__Main Tower	-10886.6162709022	25.6226933374825	28.1226712352971	-6083.79206895771	0.812300235272939	28.0720244025241
36__Main Tower	-10884.7071871144	25.6275105926163	28.1370204909861	-6082.36083620333	0.813080566081805	28.0797377293095
35__Main Tower	-10882.8676758047	25.6324251739768	28.1511652280825	-6080.94849976042	0.813858766481343	28.0873297614989
34__Main Tower	-10881.1083225335	25.6375012009005	28.1651357138902	-6079.55258653225	0.814633781934501	28.0948121988417
33__Main Tower	-10879.442171412	25.6428197011225	28.1789717091063	-6078.1696306684	0.815404210664095	28.102200884428
32__Main Tower	-10877.8853321902	25.6484824234809	28.1927243362733	-6076.79704454205	0.81616901807374	28.1095166022481
31__Main Tower	-10876.4577158232	25.6546164518904	28.2064583256948	-6075.42499711843	0.816924422007284	28.116786040539
30__Main Tower	-10875.1839177372	25.6613797412247	28.2202546903957	-6074.04898458864	0.817668703982715	28.1240429469523
29__Main Tower	-10874.0942662063	25.6689676851879	28.2342138730941	-6072.66016063396	0.818398500337834	28.1313295001395
28__Main Tower	-10873.2260477762	25.6776207935852	28.2484593874969	-6071.2475175563	0.8191096299924	28.1386979168358
27__Main Tower	-10872.624910218	25.6876334878319	28.2631419365396	-6069.79796765306	0.819797117442514	28.1462123013411
26__Main Tower	-10872.3464228069	25.6993638993197	28.278443921583	-6068.29526785928	0.820454769266352	28.1539507216613
25__Main Tower	-10872.4577393213	25.7132443484611	28.2945841459671	-6066.72417275542	0.821076761540593	28.1620074582764
24__Main Tower	-10873.0392559814	25.7297918712539	28.3118223475306	-6065.05145794203	0.821650317305582	28.1704953107253
23__Main Tower	-10874.186074084	25.7496175929486	28.3304629501722	-6063.25594124116	0.822167253351541	28.1795477557402
22__Main Tower	-10876.0089758564	25.773433331079	28.3508570899559	-6061.30553227551	0.822615127326209	28.189320620117
21__Main Tower	-10878.634465083	25.8020525084985	28.3734015452509	-6059.16408370516	0.822979861823049	28.199992756014
20__Main Tower	-10882.203269445	25.8363818115228	28.3985327117116	-6056.79127703924	0.823245688924808	28.2117649881876
19__Main Tower	-10886.8665279171	25.8773986990732	28.4267132972568	-6054.14989820947	0.823396664352574	28.224856361832
18__Main Tower	-10892.7787804656	25.9261091545005	28.4584091459501	-6051.17777033037	0.823412296109011	28.2394965079924
17__Main Tower	-10900.086913582	25.9834799787238	28.4940538290088	-6047.84737422009	0.823277695724572	28.2559128611766
16__Main Tower	-10908.9098169111	26.0502447733329	28.5339997761808	-6044.11600843306	0.822977226201624	28.2743116704722
15__Main Tower	-10919.3342587185	26.1271624069721	28.5784571934091	-6039.95934819489	0.822501044285082	28.2948524490812
14__Main Tower	-10931.3786480708	26.214323289118	28.6274260365117	-6035.37583893417	0.821847081298695	28.3176169019979
13__Main Tower	-10944.9652511317	26.3113254119398	28.6806314826941	-6030.36172627112	0.821016790209729	28.3425755018159
12__Main Tower	-10959.9203020292	26.4171279506405	28.7374782221539	-6024.97649764482	0.820029721299942	28.3695574376435
11__Main Tower	-10975.9543686105	26.5299563830105	28.7970409477068	-6019.29214024153	0.818914449070781	28.3982318023692
10__Main Tower	-10992.6931598599	26.6474222302816	28.8581048331603	-6013.4190877175	0.81771319827868	28.4281083014632
9__Main Tower	-11009.6841825647	26.7666203256931	28.9192592800754	-6007.47804886367	0.816472333984866	28.4585632079512
8__Main Tower	-11026.4552016082	26.8844488940369	28.9790329757688	-6001.61076311331	0.815246051193867	28.488890492973
7__Main Tower	-11042.5521684472	26.9978912225362	29.0360442476964	-5995.94966509523	0.814085103581182	28.5183705650951
6__Main Tower	-11057.5941251564	27.1043498186371	29.0891346826727	-5990.62055308252	0.813037543207342	28.546342956102
5__Main Tower	-11071.2969235708	27.2018418640379	29.1374593627306	-5985.71069620392	0.812137119542546	28.5722676784908
4__Main Tower	-11076.9466557669	27.2439849704407	29.1589526319793	-5983.43989209691	0.812204174801844	28.5840129420822
3__Main Tower	-11101.129519474	27.458018032299	29.2917225584557	-5969.65245473763	0.809257203644021	28.6618248388365
2__Main Tower	-11128.5782313153	27.6985726884097	29.4368142372633	-5954.2118057724	0.805801429122956	28.7503555473153
1__Main Tower	-11157.9956131276	27.9547765530008	29.5871652668481	-5937.72899852773	0.802004429959618	28.8464944794336
