Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10927.6702727761	25.8036935657519	28.1657517686484	-6082.15562658482	0.797226183329783	28.0832374563271
42__Main Tower	-10955.7086855404	26.0540588975347	28.3441177267869	-6066.42274280866	0.793200574344565	28.1657517678052
41__Main Tower	-10983.0973304246	26.295639031573	28.5105935602419	-6051.33591951239	0.790150856074525	28.2448645501226
40__Main Tower	-11009.2161757218	26.5204144214347	28.6595733674219	-6037.54763116836	0.787352285266742	28.3176835528887
39__Main Tower	-11032.850336385	26.7201885068084	28.7875917290322	-6025.46309638791	0.784939822581435	28.3820063769197
38__Main Tower	-11053.2689062043	26.8905015949235	28.8936102934184	-6015.27087270554	0.78299029095939	28.4366436116794
37__Main Tower	-11070.2167396393	27.0305114899137	28.9786513186062	-6006.94888803236	0.781518706721027	28.4814502502442
36__Main Tower	-11083.8100498461	27.1421143696231	29.0450825613164	-6000.34287589845	0.780500873525399	28.5171051114922
35__Main Tower	-11094.3927971351	27.228802053955	29.0958822449893	-5995.20808843587	0.779882469565713	28.5447824204421
34__Main Tower	-11102.4170995882	27.2946940661138	29.1340800476588	-5991.2853232264	0.779601468083228	28.565845062821
33__Main Tower	-11108.3463960607	27.3438340539793	29.1624229768486	-5988.32323668089	0.779593903667876	28.5816257478087
32__Main Tower	-11112.6098828113	27.3798375294067	29.1832279470492	-5986.10308847999	0.779801967207822	28.5933045784098
31__Main Tower	-11115.5674722112	27.405706840967	29.1983567454745	-5984.44556902025	0.780176819807969	28.601861573108
30__Main Tower	-11117.5225791049	27.4238826078849	29.2092566162624	-5983.20930173221	0.780678923658602	28.6080760487569
29__Main Tower	-11118.7129043244	27.4362608963484	29.2170275270407	-5982.2857381996	0.781277185999017	28.6125497306867
28__Main Tower	-11119.3283888678	27.4443121921033	29.2224935278285	-5981.59296827928	0.781947621434937	28.6157383195006
27__Main Tower	-11119.5054699637	27.4491208545597	29.2262672848949	-5981.06981389654	0.782671947495939	28.6179829269741
26__Main Tower	-11119.3592714225	27.4515411964803	29.2288031436548	-5980.67077856225	0.783436313116799	28.6195375437344
25__Main Tower	-11118.968003654	27.4521862645955	29.2304384754607	-5980.36206581795	0.784230254684322	28.620590949285
24__Main Tower	-11118.3996904135	27.4515462921328	29.231424388032	-5980.11855839347	0.785045876936427	28.6212834543164
23__Main Tower	-11117.7025993916	27.4499792500737	29.231947632769	-5979.92163240873	0.785877242506845	28.6217190619539
22__Main Tower	-11116.9098347825	27.4477415937578	29.2321459045307	-5979.75761065132	0.786719927951183	28.6219740917767
21__Main Tower	-11116.0501687904	27.4450351913804	29.232118722829	-5979.61665949318	0.787570699247221	28.6221033391863
20__Main Tower	-11115.1421265615	27.4419961300587	29.2319353673739	-5979.49194681829	0.788427259835985	28.6221447865839
19__Main Tower	-11114.2005761923	27.4387237863221	29.2316419046907	-5979.37897903489	0.789288049939534	28.6221233188081
18__Main Tower	-11113.2366464057	27.4352865134975	29.2312668500872	-5979.27498013119	0.790152059410659	28.622054213574
17__Main Tower	-11112.2494993471	27.4316997982959	29.2308261789316	-5979.17839831403	0.79101867757537	28.621945914971
16__Main Tower	-11111.2459253538	27.4279953295703	29.2303276035916	-5979.08847050072	0.791887560659632	28.6218024837187
15__Main Tower	-11110.2279735517	27.4241838554549	29.2297740050854	-5979.00487538083	0.792758525115889	28.6216255477038
14__Main Tower	-11109.1966416599	27.4202700746597	29.2291660180046	-5978.92747409962	0.793631466576803	28.6214157574607
13__Main Tower	-11108.1525488183	27.4162567989206	29.2285038604044	-5978.85613039486	0.794506302187604	28.6211737927322
12__Main Tower	-11107.0963813158	27.4121477339768	29.2277885587433	-5978.79059672242	0.795382932567918	28.620900996479
11__Main Tower	-11106.029010344	27.4079487162151	29.2270227327798	-5978.73045111322	0.796261219100334	28.6205997228925
10__Main Tower	-11104.9516331639	27.4036686985365	29.2262110711077	-5978.67507099735	0.797140972607153	28.6202734774264
9__Main Tower	-11103.8658551751	27.3993202927111	29.2253605729262	-5978.62363540494	0.798021950894156	28.6199268974488
8__Main Tower	-11102.7737055617	27.3949197944933	29.2244805050366	-5978.5751509903	0.798903863777412	28.6195655992267
7__Main Tower	-11101.6775725629	27.3904865662856	29.2235819945985	-5978.5285087666	0.799786387464836	28.6191958521049
6__Main Tower	-11100.5800390997	27.3860416095347	29.2226771538003	-5978.48257377256	0.800669188936036	28.6188240674301
5__Main Tower	-11099.485011865	27.3816173531346	29.2217850855914	-5978.43667057156	0.801552062615058	28.6184540429844
4__Main Tower	-11098.4857186106	27.3779541701756	29.221322968975	-5978.34630284149	0.802421607393089	28.6183364646446
3__Main Tower	-11128.868920847	27.6470116245892	29.3866843546657	-5960.99366770109	0.798546308571169	28.7174148704619
2__Main Tower	-11155.6987736001	27.8842846829149	29.5288649239891	-5945.60070610188	0.7951691762622	28.8067292970057
1__Main Tower	-11178.1664300276	28.0825538545227	29.6449013731149	-5932.67500679728	0.792432889697242	28.8828031030473
