Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10943.5802368245	25.8482019627284	28.1594954206797	-6084.96400749586	0.780904667111175	28.0801639640053
42__Main Tower	-10970.2345844826	26.0883508759238	28.3318456404163	-6069.85565239474	0.777149124162916	28.1594954205935
41__Main Tower	-10996.6010655875	26.3224897964985	28.4942550903471	-6055.23237112934	0.774322822226303	28.2361701456156
40__Main Tower	-11022.1195619171	26.5430551954967	28.6412532548167	-6041.71809210439	0.77168788708075	28.3074767360283
39__Main Tower	-11045.5850147835	26.741849991512	28.769196031621	-6029.72253101274	0.769376972080373	28.3712459043672
38__Main Tower	-11066.1912551468	26.9138955270878	28.8766571967951	-6019.46154609977	0.767472951828267	28.4261851097156
37__Main Tower	-11083.5974783093	27.0576656893272	28.9641905771806	-6010.95132591387	0.766001113628279	28.4719567495333
36__Main Tower	-11097.8167431506	27.1742881362565	29.0337145512262	-6004.07790434816	0.76494902875786	28.5090133116342
35__Main Tower	-11109.1106684245	27.266599903451	29.0878335764994	-5998.64680261869	0.764278509549241	28.5383151869887
34__Main Tower	-11117.8597388428	27.3381796183718	29.1292961873485	-5994.41825505327	0.763933973290428	28.5610490590691
33__Main Tower	-11124.4746788747	27.3926794603258	29.1606579308	-5991.16723982382	0.76386080503844	28.5784185584792
32__Main Tower	-11129.353545771	27.4334746671575	29.1841209175625	-5988.68888006171	0.764006672916848	28.5915202696069
31__Main Tower	-11132.853804232	27.4635506356492	29.2014927570658	-5986.81120758849	0.764326183382172	28.6012891986845
30__Main Tower	-11135.2499490115	27.4851068031961	29.2142111745045	-5985.39498578465	0.764781466379455	28.6084891171776
29__Main Tower	-11136.7915932627	27.500154930717	29.2233967294036	-5984.33062577074	0.765342029491574	28.6137266551451
28__Main Tower	-11137.6711765097	27.510208838531	29.2299117710824	-5983.53301722741	0.765983642037913	28.6174749385616
27__Main Tower	-11138.0452094262	27.5163189788271	29.2344149349951	-5982.93676955111	0.766687314630342	28.6200987266458
26__Main Tower	-11138.0239477427	27.5196630950082	29.2374071514042	-5982.49194285626	0.767438284215444	28.6218772295489
25__Main Tower	-11137.7054069692	27.5208143197837	29.2392685862332	-5982.16052931211	0.768225134097548	28.6230232492107
24__Main Tower	-11137.1612488776	27.5203155788855	29.2402874504493	-5981.91366106877	0.76903906771238	28.6236985399048
23__Main Tower	-11136.4471368327	27.5185824628085	29.2406820955685	-5981.72944323469	0.769873326352284	28.6240258203986
22__Main Tower	-11135.6059411305	27.5159327879435	29.240617812106	-5981.59129256402	0.770722730189962	28.624098030397
21__Main Tower	-11134.657527848	27.5126468083519	29.2402195537178	-5981.48667161674	0.77158332003054	28.6239854082753
20__Main Tower	-11133.6662190232	27.5087954411688	29.2395815723071	-5981.40612621459	0.772452079134066	28.6237408856203
19__Main Tower	-11132.612062675	27.5046318345091	29.2387747261727	-5981.34255322642	0.77332671772619	28.6234041970708
18__Main Tower	-11131.5226588831	27.5002235007256	29.2378520383904	-5981.29064256031	0.774205506184157	28.6230050151246
17__Main Tower	-11130.4089495706	27.4956491086007	29.2368527666439	-5981.24639306319	0.775087115818776	28.6225654068757
16__Main Tower	-11129.2792207076	27.4909679712251	29.2358063433369	-5981.20700343721	0.775970635068968	28.6221015017155
15__Main Tower	-11128.1252554434	27.4862569998523	29.2347339518451	-5981.17029814362	0.776855318407519	28.6216251395421
14__Main Tower	-11126.9792838689	27.4814775150174	29.2336509183897	-5981.13475851415	0.777740643914139	28.6211447445749
13__Main Tower	-11125.8350531179	27.4767016258215	29.2325680284887	-5981.09932037732	0.778626237742932	28.6206662000743
12__Main Tower	-11124.68733331	27.4719203345538	29.2314926740086	-5981.06325917616	0.779511837788827	28.620193493157
11__Main Tower	-11123.5414009958	27.4671564780701	29.2304297206228	-5981.02610303096	0.780397265940048	28.6197292022378
10__Main Tower	-11122.3983308362	27.4624170380041	29.2293821784238	-5980.98756547251	0.781282406497813	28.6192748739246
9__Main Tower	-11121.2588085723	27.4577062509694	29.2283517202108	-5980.94749341831	0.782167189402513	28.6188313142826
8__Main Tower	-11120.1257195526	27.4530345620365	29.2273390786262	-5980.90582730403	0.783051577297726	28.6183988118263
7__Main Tower	-11118.9933427534	27.4483833649317	29.2263443466297	-5980.86257091607	0.783935555661047	28.6179773060386
6__Main Tower	-11117.865420962	27.4437647504146	29.2253672012811	-5980.8177689323	0.784819125376855	28.6175665126303
5__Main Tower	-11116.7392128875	27.4391565137555	29.2243946434195	-5980.7727588843	0.785702647317755	28.6171588065374
4__Main Tower	-11115.7218354229	27.4354042326153	29.2239006744021	-5980.67906535287	0.786571751924895	28.6170275842994
3__Main Tower	-11146.200627897	27.7055835257062	29.3898963293684	-5963.32751691495	0.782794310016562	28.7162132774888
2__Main Tower	-11173.2206748636	27.9444443263426	29.5329842137343	-5947.89244648222	0.779492116505756	28.8058908657281
1__Main Tower	-11195.8936181725	28.1445573470664	29.6500209838572	-5934.89948777095	0.77680997612002	28.8824777788607
