Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10900.2136215874	25.5819145481159	28.0130885335559	-6094.24554533391	0.808580693833875	28.0130478932905
42__Main Tower	-10900.2102301119	25.5817201066514	28.0131640202721	-6094.26810187613	0.808517037591161	28.0130885335533
41__Main Tower	-10899.3395264199	25.5790406463806	28.0132528696613	-6094.14711975162	0.809415352944038	28.0131363936362
40__Main Tower	-10898.3347129305	25.57593225789	28.0133574322757	-6094.02502133634	0.810313623350167	28.0131927315325
39__Main Tower	-10897.4622159095	25.5732734951601	28.0134804725737	-6093.90155178904	0.81121182774686	28.0132590395514
38__Main Tower	-10896.023390926	25.5702995503511	28.0136252446938	-6093.77641145983	0.812109941104637	28.0133370722766
37__Main Tower	-10895.5805137422	25.5675615104506	28.0137955811842	-6093.64924751841	0.813007933580315	28.0134288951735
36__Main Tower	-10894.155493852	25.5646792500479	28.0139960002627	-6093.51964419018	0.813905769471726	28.0135369410608
35__Main Tower	-10893.6931988787	25.5619316566132	28.0142318351785	-6093.39222814007	0.814805363509872	28.0136640781454
34__Main Tower	-10892.2704747025	25.5591245409363	28.0145093916162	-6093.25618632681	0.815702751187909	28.0138136921726
33__Main Tower	-10891.7988318324	25.5564274128119	28.0148361410039	-6093.26805871	0.816726401196882	28.0139897863871
32__Main Tower	-10890.3666628304	25.5538405529984	28.0152209605069	-6093.12031261081	0.817623049784803	28.0141971042914
31__Main Tower	-10889.4967327541	25.5513430135552	28.0156744347326	-6092.96558182134	0.818519126882636	28.0144412820439
30__Main Tower	-10888.608526867	25.5490245821852	28.0162092403692	-6092.80435796028	0.819414647239162	28.0147290400319
29__Main Tower	-10887.5177437946	25.5457940455542	28.0168406440922	-6092.63510907791	0.820309447199803	28.0150684270844
28__Main Tower	-10886.5551881643	25.5433113259799	28.0175871575296	-6092.45462323231	0.821203199370295	28.0154691365686
27__Main Tower	-10885.7319483092	25.5413932814784	28.0184714130186	-6092.26280615696	0.822095811401216	28.0159429221387
26__Main Tower	-10884.5753574507	25.5386815892717	28.0195213535131	-6092.056937384	0.822986925757748	28.0165041535519
25__Main Tower	-10883.5875440776	25.5365021927643	28.0207718740797	-6091.8336269497	0.82387605890304	28.0171705717412
24__Main Tower	-10882.5936569766	25.5344935598541	28.0222671179506	-6091.5994484229	0.824763581531208	28.0179643302493
23__Main Tower	-10881.5959517129	25.5327091477758	28.0240637273882	-6091.3240123059	0.825646216602149	28.0189134515904
22__Main Tower	-10880.5988158576	25.5312240907776	28.0262354936427	-6091.01638822994	0.826524156134085	28.0200538886159
21__Main Tower	-10879.6100281029	25.5301452809479	28.028880062486	-6090.66656548644	0.827395465701829	28.0214324719221
20__Main Tower	-10878.6426867664	25.5296263709432	28.0321286621032	-6090.26434162399	0.82825770317466	28.0231111581537
19__Main Tower	-10877.7181458975	25.5298901000259	28.0361602684773	-6089.79326939655	0.829107026127481	28.02517318927
18__Main Tower	-10876.8704572592	25.5312614674919	28.0412222593017	-6089.23399355917	0.829938236715756	28.0277320539139
17__Main Tower	-10876.1530420388	25.5342168561079	28.047660482711	-6088.54829523254	0.830742116799486	28.0309445385433
16__Main Tower	-10875.6486219163	25.5394563432224	28.055962811801	-6087.69939693377	0.831507456221382	28.0350296971232
15__Main Tower	-10875.4838245942	25.5480091231818	28.0668216146871	-6086.62734067073	0.832216642194421	28.040296265394
14__Main Tower	-10875.8502937484	25.5613848670595	28.0812218523899	-6085.24215113609	0.832843133455836	28.0471818485834
13__Main Tower	-10877.0344017317	25.5817858150082	28.1005618741789	-6083.423372559	0.833349134415047	28.0563079056656
12__Main Tower	-10879.4573192601	25.6123923568224	28.1268113633827	-6080.99711338993	0.83367993912488	28.0685545446742
11__Main Tower	-10883.7251992118	25.6577219541195	28.162700930748	-6077.72247828565	0.833758367384999	28.0851570401163
10__Main Tower	-10890.686327522	25.7239581672162	28.2119123836471	-6073.25503602164	0.833471781341163	28.1078188974062
9__Main Tower	-10901.4568444962	25.8195851090579	28.2791851988483	-6067.17103045302	0.832681888950494	28.1388189993145
8__Main Tower	-10917.4206736902	25.9545629720321	28.3701617424082	-6058.90973079273	0.831206040635466	28.1810553873125
7__Main Tower	-10940.1053498118	26.1404786010711	28.4906744601161	-6047.88438331948	0.828851833616121	28.2379102808205
6__Main Tower	-10970.7228350168	26.3869290382181	28.6451273257225	-6033.52343218513	0.825439054920485	28.3127535448389
5__Main Tower	-11009.649328383	26.6977276058363	28.833892853295	-6015.58265704239	0.820896718970518	28.4078939910551
4__Main Tower	-11041.1787769723	26.9500530745988	28.9834637399534	-6000.96294612385	0.817333246692042	28.4866284200104
3__Main Tower	-11060.5881330208	27.1205894922792	29.0912959759741	-5990.10072286658	0.815178150291499	28.5464748907849
2__Main Tower	-11090.4284759119	27.3776666070382	29.2485627279318	-5973.96242009479	0.811478342946339	28.6368020448227
1__Main Tower	-11133.3227989021	27.7436152729413	29.464907618408	-5951.05484589433	0.805808270234773	28.7681291727994
