Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10930.2484589767	25.6767382872971	28.0132853467668	-6098.0793187326	0.779532550670972	28.0131528211456
42__Main Tower	-10930.2371070884	25.6768910757201	28.0135331844475	-6098.05675908512	0.779530836377535	28.0132853467665
41__Main Tower	-10929.0335307885	25.6747885591938	28.0138153179062	-6097.90733809232	0.780425580542775	28.0134362962953
40__Main Tower	-10928.2873288059	25.6711905474759	28.0141364365772	-6097.7597849594	0.781321974996492	28.0136081521829
39__Main Tower	-10926.8477840261	25.6683809614488	28.014501875768	-6097.60345206489	0.782216259927139	28.0138037743679
38__Main Tower	-10925.9336649853	25.6658219429325	28.0149177106297	-6097.592915582	0.783230616955957	28.0140264169547
37__Main Tower	-10924.9175946534	25.6629760459573	28.0153908662188	-6097.42387303625	0.7841241438519	28.0142797854737
36__Main Tower	-10924.1637977188	25.6610461129763	28.0159292475706	-6097.24924822546	0.785017261016702	28.0145681039308
35__Main Tower	-10923.0755494761	25.6580844264065	28.0165418950953	-6097.06901502684	0.785909958078837	28.014896194029
34__Main Tower	-10921.931622843	25.6550176980832	28.0172391727735	-6096.88198337528	0.786802131370944	28.0152695698897
33__Main Tower	-10921.0213822838	25.652811045536	28.0180329996219	-6096.6850689813	0.787693523225018	28.0156945528784
32__Main Tower	-10919.9017423867	25.650233669968	28.0189371390797	-6096.47995444129	0.788584240167712	28.0161784129143
31__Main Tower	-10918.8874463644	25.6475086621494	28.0199675669005	-6096.26428565121	0.789474062887449	28.016729545128
30__Main Tower	-10917.8642742008	25.6451596556432	28.0211429465723	-6096.03616582394	0.790362790463771	28.0173576942543
29__Main Tower	-10916.8315956957	25.6429072376975	28.0224852535654	-6095.79288209073	0.791250131233815	28.0180742442573
28__Main Tower	-10915.788996921	25.6407705920817	28.0240206079268	-6095.54327611788	0.792136709666489	28.0188925983284
27__Main Tower	-10914.7364485862	25.6387745318964	28.025780401541	-6095.26100416479	0.793020207515267	28.0198286856837
26__Main Tower	-10913.6745616193	25.6369516924461	28.0278028450031	-6094.95609381496	0.793901205289945	28.0209016478535
25__Main Tower	-10912.6049715692	25.6353456883547	28.0301351142852	-6094.62319839752	0.794778912424275	28.0221347804108
24__Main Tower	-10911.530912835	25.6340156717175	28.0328363564871	-6094.25842978683	0.795652503515307	28.0235568394309
23__Main Tower	-10910.4580718649	25.6330429244917	28.035981927091	-6093.85482029558	0.796520651926076	28.0252038698839
22__Main Tower	-10909.3958490927	25.6325403989526	28.0396693917253	-6093.40345622263	0.797381510260106	28.0271217815676
21__Main Tower	-10908.3592173147	25.6326665187252	28.0440270506389	-6092.89767058397	0.79823300331972	28.0293699949928
20__Main Tower	-10907.3714456275	25.6336451106625	28.0492260545584	-6092.31025425294	0.799070208936273	28.032026614884
19__Main Tower	-10906.4680698156	25.635794102498	28.0554975976478	-6091.63001469791	0.799888861809647	28.0351957745059
18__Main Tower	-10905.7026383399	25.6395666354842	28.0631572100672	-6090.82854784279	0.800681476064773	28.0390180412613
17__Main Tower	-10905.1549487022	25.6456095088896	28.0726388127342	-6089.86844967479	0.801437431446408	28.043685087871
16__Main Tower	-10904.9426972528	25.6548453006536	28.0845418472199	-6088.69766375471	0.802141743801555	28.0494601982371
15__Main Tower	-10905.2376421051	25.6685857227354	28.0996951870413	-6087.24285286573	0.80277229519371	28.0567065257051
14__Main Tower	-10906.2873821053	25.6886838443786	28.1192410438144	-6085.40735518348	0.803299587014754	28.0659251727555
13__Main Tower	-10908.4433679054	25.7177296689517	28.1447393825529	-6083.04993297079	0.8036791161828	28.0778047021401
12__Main Tower	-10912.1941520743	25.7592830243959	28.1782859531891	-6079.99322658593	0.80385499132216	28.0932817753664
11__Main Tower	-10918.1990493218	25.8181124760798	28.2226207690801	-6075.97950823613	0.803743718183811	28.1136076904414
10__Main Tower	-10927.3097204765	25.9003580077393	28.2811732367853	-6070.70381412039	0.803247006446414	28.140405179802
9__Main Tower	-10940.54820478	26.0133564518557	28.3579418280442	-6063.78656544038	0.80224141856715	28.1756809516004
8__Main Tower	-10959.0418084604	26.1654167772456	28.4570500979353	-6054.8061920696	0.800589812942601	28.2217311515984
7__Main Tower	-10983.7417965215	26.3636874763565	28.5818025672379	-6043.38438397652	0.798170475458742	28.2808473996155
6__Main Tower	-11015.1167050508	26.6120612507254	28.7331853140663	-6029.28660365504	0.79490942498972	28.3547304937627
5__Main Tower	-11052.6550761755	26.9076076983356	28.9081336385094	-6012.6283044054	0.790846521421804	28.4436084843482
4__Main Tower	-11079.768764741	27.1220662333575	29.0324605922864	-6000.45754078356	0.788095837085928	28.5093792509343
3__Main Tower	-11100.4548636852	27.3039575545223	29.1467228660815	-5988.94027521191	0.7858725809159	28.5732615836281
2__Main Tower	-11130.2832126549	27.5614547579897	29.3033360671216	-5972.84760569031	0.782351701485541	28.6640700255897
1__Main Tower	-11170.3475006918	27.9051905974127	29.505836780573	-5951.35783540538	0.77730221016538	28.7880760959178
