Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10927.2692116539	25.6950991542817	28.0478701500073	-6095.07614533969	0.779388781175484	28.0314999979714
42__Main Tower	-10925.2789722197	25.7123583865133	28.0788391497567	-6092.26003364842	0.779138288523443	28.0478701499777
41__Main Tower	-10922.5939881548	25.7264877929081	28.1084490813218	-6089.44738222527	0.779785446612762	28.063499103807
40__Main Tower	-10920.1712622838	25.7406128772402	28.136817146275	-6086.74602826691	0.780430382126194	28.0784345453529
39__Main Tower	-10918.030553008	25.7549156540246	28.1640770084607	-6084.14603037371	0.781070793891193	28.0927360399378
38__Main Tower	-10916.1957576872	25.7696078918061	28.1903793132138	-6081.63541288722	0.781703725266797	28.1064711563951
37__Main Tower	-10914.6956487164	25.7849344581551	28.2158923691292	-6079.19622861572	0.782324085913273	28.1197157014058
36__Main Tower	-10913.5645852982	25.8011767728803	28.2408029102159	-6076.814248383	0.782928170327187	28.1325540260394
35__Main Tower	-10912.8431739829	25.8186560999303	28.2653167940365	-6074.47146281291	0.783510881234193	28.1450793549933
34__Main Tower	-10912.5788157266	25.8377362774446	28.2896594246391	-6072.14968700519	0.784067023423072	28.157394062997
33__Main Tower	-10912.8260459535	25.8588253112776	28.3140756054142	-6069.823567083	0.784588709759941	28.169609789351
32__Main Tower	-10913.6465383904	25.8823750409077	28.3388284244087	-6067.46978090748	0.78506871658073	28.1818472384888
31__Main Tower	-10915.1086033638	25.9088778347011	28.3641966590495	-6065.06440216437	0.785499498026989	28.1942354627739
30__Main Tower	-10917.2859712128	25.9388590166929	28.3904700735893	-6062.58155444889	0.785872676588022	28.2069103674813
29__Main Tower	-10920.2556202543	25.9728635168505	28.4179418995436	-6059.99389633168	0.786179211955031	28.2200121261479
28__Main Tower	-10924.0943875929	26.0114350161478	28.4468977831169	-6057.28028750734	0.7864110880778	28.233681163048
27__Main Tower	-10928.8741684359	26.0550864289859	28.4776006215146	-6054.39983624797	0.786557404279645	28.2480523739231
26__Main Tower	-10934.6555525802	26.1042603476532	28.5102710768161	-6051.34456243918	0.78661253682326	28.2632473518238
25__Main Tower	-10941.480060739	26.1592809750249	28.5450642331709	-6048.09238259966	0.786570075365006	28.2793646027467
24__Main Tower	-10949.3582696195	26.220205394051	28.5820438885974	-6044.63590954297	0.786427827075555	28.2964681095253
23__Main Tower	-10958.2566952799	26.2869696189775	28.6210241363758	-6040.99021467004	0.786189611320017	28.3145564900598
22__Main Tower	-10968.0999341299	26.3590629004315	28.6617786025864	-6037.16129336745	0.785859455606887	28.3334775978802
21__Main Tower	-10978.7720861916	26.4358285758323	28.7039960172413	-6033.18284347955	0.785450188877788	28.3531773886324
20__Main Tower	-10990.0917051552	26.5162469528384	28.7472291859989	-6029.09394154765	0.784976822412245	28.3734948047217
19__Main Tower	-11001.8527948194	26.5990701750147	28.7909002724932	-6024.94019358403	0.784458697421923	28.3941991665574
18__Main Tower	-11013.8269783583	26.6828682725084	28.8343464423862	-6020.78271981491	0.783920021471001	28.41500671414
17__Main Tower	-11025.7517180097	26.7660417792228	28.8768740786632	-6016.68853142842	0.783387293157633	28.4356023135342
16__Main Tower	-11037.3812369533	26.8470481010581	28.9178158314548	-6012.71460045819	0.782883627828298	28.4556647432315
15__Main Tower	-11048.4937503749	26.9244829597821	28.9565825842924	-6008.91701218042	0.782431804339205	28.4748923598574
14__Main Tower	-11058.9053732794	26.9971741391131	28.9927029817505	-6005.35045602309	0.782053894310791	28.4930254433546
13__Main Tower	-11068.4728985105	27.0642224656756	29.0258459437863	-6002.04344606896	0.781762533063421	28.5098621707635
12__Main Tower	-11077.114478676	27.1250829904736	29.0558253655729	-5999.02587205397	0.781570371631957	28.5252666270934
11__Main Tower	-11084.7844550843	27.1794777312622	29.0825895978298	-5996.29906068229	0.781479692145847	28.5391689544147
10__Main Tower	-11091.4915806773	27.2274630765994	29.1062256466846	-5993.86451060132	0.781492392685599	28.5515630546406
9__Main Tower	-11097.2656160878	27.2692319291464	29.1268697374137	-5991.70906762931	0.781605050278427	28.562507416806
8__Main Tower	-11102.1591571646	27.3051218299768	29.1447116530565	-5989.82056013514	0.781813554308713	28.5720501306092
7__Main Tower	-11106.2444866698	27.3355964166035	29.1599890596436	-5988.17832382664	0.782110929545243	28.5802893175472
6__Main Tower	-11109.5934182788	27.3611522502616	29.1729633349091	-5986.7587423986	0.782489024826079	28.587342333898
5__Main Tower	-11112.2929250087	27.3823574942062	29.1839095273959	-5985.53629158112	0.782938968956686	28.5933399030906
4__Main Tower	-11112.7020187469	27.3882215052517	29.1878381495065	-5985.00494555032	0.78364685421804	28.5955870768516
3__Main Tower	-11138.6866256852	27.6189658059757	29.3307675708667	-5970.19987056993	0.780577049889993	28.6796945668977
2__Main Tower	-11166.0314047112	27.8601300901775	29.4761134700867	-5954.71542690599	0.777278506846213	28.7689858682747
1__Main Tower	-11193.2310497586	28.0988383641916	29.6162085266061	-5939.35935142225	0.773970446667922	28.8591305015733
