P,T,N2,O2,Ar,y_N2,y_O2,y_Ar,x_N2,x_O2,x_Ar,vap_rho,liq_rho,vap_etlp,liq_etlp,vap_F,liq_F
543.4321951,-178.0135069,0.996073185,0.000132508,0.00379430700000003,0.997874254827965,5.59363618348618E-05,0.00206980881020012,0.996018512985308,0.000134832355037069,0.0038466546596548,0.800802819592198,25.6291079981524,-6091.12249683887,-10903.7428249033,0.0163672234991395,0.539188332056416
543.4321951,-178.0135069,0.996073185,0.000136032,0.00379078300000003,0.997874254827965,5.59363618348618E-05,0.00206980881020012,0.996018512985308,0.000134832355037069,0.0038466546596548,0.800802819592198,25.6291079981524,-6091.12249683887,-10903.7428249033,0.0163672234991395,0.539188332056416
543.4321951,-178.0135069,0.996073185,0.000139556,0.00378725900000003,0.997874254827965,5.59363618348618E-05,0.00206980881020012,0.996018512985308,0.000134832355037069,0.0038466546596548,0.800802819592198,25.6291079981524,-6091.12249683887,-10903.7428249033,0.0163672234991395,0.539188332056416
543.4321951,-178.0135069,0.996073185,0.00014308,0.00378373500000003,0.997874254827965,5.59363618348618E-05,0.00206980881020012,0.996018512985308,0.000134832355037069,0.0038466546596548,0.800802819592198,25.6291079981524,-6091.12249683887,-10903.7428249033,0.0163672234991395,0.539188332056416
543.4321951,-178.0135069,0.996127284,0.000132508,0.00374020800000005,0.997874254827965,5.59363618348618E-05,0.00206980881020012,0.996018512985308,0.000134832355037069,0.0038466546596548,0.800802819592198,25.6291079981524,-6091.12249683887,-10903.7428249033,0.0163672234991395,0.539188332056416
543.4321951,-178.0135069,0.996127284,0.000136032,0.00373668400000005,0.997874254827965,5.59363618348618E-05,0.00206980881020012,0.996018512985308,0.000134832355037069,0.0038466546596548,0.800802819592198,25.6291079981524,-6091.12249683887,-10903.7428249033,0.0163672234991395,0.539188332056416
543.4321951,-178.0135069,0.996127284,0.000139556,0.00373316000000005,0.997874254827965,5.59363618348618E-05,0.00206980881020012,0.996018512985308,0.000134832355037069,0.0038466546596548,0.800802819592198,25.6291079981524,-6091.12249683887,-10903.7428249033,0.0163672234991395,0.539188332056416
543.4321951,-178.0135069,0.996127284,0.00014308,0.00372963600000005,0.997874254827965,5.59363618348618E-05,0.00206980881020012,0.996018512985308,0.000134832355037069,0.0038466546596548,0.800802819592198,25.6291079981524,-6091.12249683887,-10903.7428249033,0.0163672234991395,0.539188332056416
543.4321951,-178.010980833333,0.995964987,0.000132508,0.00390250499999998,0.99768902435779,6.00801456358341E-05,0.00225089549657419,0.995672361917144,0.000144801357094976,0.00418283672576092,0.800773016182493,25.6311230782232,-6090.75148687143,-10903.4181720084,0.0806131394123932,0.474942416143162
543.4321951,-178.010980833333,0.995964987,0.000136032,0.00389898099999998,0.99768902435779,6.00801456358341E-05,0.00225089549657419,0.995672361917144,0.000144801357094976,0.00418283672576092,0.800773016182493,25.6311230782232,-6090.75148687143,-10903.4181720084,0.0806131394123932,0.474942416143162
543.4321951,-178.010980833333,0.995964987,0.000139556,0.00389545699999998,0.99768902435779,6.00801456358341E-05,0.00225089549657419,0.995672361917144,0.000144801357094976,0.00418283672576092,0.800773016182493,25.6311230782232,-6090.75148687143,-10903.4181720084,0.0806131394123932,0.474942416143162
543.4321951,-178.010980833333,0.995964987,0.00014308,0.00389193299999998,0.99768902435779,6.00801456358341E-05,0.00225089549657419,0.995672361917144,0.000144801357094976,0.00418283672576092,0.800773016182493,25.6311230782232,-6090.75148687143,-10903.4181720084,0.0806131394123932,0.474942416143162
543.4321951,-178.010980833333,0.996019086,0.000132508,0.003848406,0.99768902435779,6.00801456358341E-05,0.00225089549657419,0.995672361917144,0.000144801357094976,0.00418283672576092,0.800773016182493,25.6311230782232,-6090.75148687143,-10903.4181720084,0.0806131394123932,0.474942416143162
543.4321951,-178.010980833333,0.996019086,0.000136032,0.003844882,0.99768902435779,6.00801456358341E-05,0.00225089549657419,0.995672361917144,0.000144801357094976,0.00418283672576092,0.800773016182493,25.6311230782232,-6090.75148687143,-10903.4181720084,0.0806131394123932,0.474942416143162
543.4321951,-178.010980833333,0.996019086,0.000139556,0.003841358,0.99768902435779,6.00801456358341E-05,0.00225089549657419,0.995672361917144,0.000144801357094976,0.00418283672576092,0.800773016182493,25.6311230782232,-6090.75148687143,-10903.4181720084,0.0806131394123932,0.474942416143162
543.4321951,-178.010980833333,0.996019086,0.00014308,0.003837834,0.99768902435779,6.00801456358341E-05,0.00225089549657419,0.995672361917144,0.000144801357094976,0.00418283672576092,0.800773016182493,25.6311230782232,-6090.75148687143,-10903.4181720084,0.0806131394123932,0.474942416143162
543.4321951,-178.010980833333,0.996073185,0.000132508,0.00379430700000003,0.997690375600955,6.21866865349508E-05,0.00224743771250987,0.995673714276025,0.000149878436103298,0.00417640728787159,0.800773024586503,25.6311190862984,-6090.7568045706,-10903.4291348657,0.110047322890839,0.445508232664717
543.4321951,-178.010980833333,0.996073185,0.000136032,0.00379078300000003,0.997690375600955,6.21866865349508E-05,0.00224743771250987,0.995673714276025,0.000149878436103298,0.00417640728787159,0.800773024586503,25.6311190862984,-6090.7568045706,-10903.4291348657,0.110047322890839,0.445508232664717
543.4321951,-178.010980833333,0.996073185,0.000139556,0.00378725900000003,0.997690375600955,6.21866865349508E-05,0.00224743771250987,0.995673714276025,0.000149878436103298,0.00417640728787159,0.800773024586503,25.6311190862984,-6090.7568045706,-10903.4291348657,0.110047322890839,0.445508232664717
